sample,scalar_trace
405,-0.09750604435553496
406,-0.7995948173252537
407,0.5751907265389582
408,0.7436957294091283
409,-0.5069568398470351
410,0.14780895646156422
411,-0.38389845404156353
412,0.38877109794504094
413,-0.9832604062449795
414,-0.5789317702947824
415,0.0952004978601781
416,-0.7233179420296446
417,-0.3089912851045381
418,-0.8803902863464529
419,0.6968060461766784
420,0.31136540199709406
421,0.11166996967480387
422,-0.34902559432376207
423,-0.4694524385389128
424,-0.21936886528727606
425,-0.44697154254246463
426,0.3422509070245915
427,0.28310392033561604
428,0.7564321900816723
429,0.7451884378023828
430,-0.5629001404809553
431,0.13826030841703194
432,0.2255402666101532
433,-0.8810683204977973
434,-0.380540280065202
435,-0.47303657304506874
436,0.5376920552027423
437,0.29383974336962876
438,-0.5420146690455713
439,-0.7466142304914051
440,-0.1852541298231975
441,-0.19205649077838688
442,-0.2561047503974049
443,-0.6878535121342666
444,0.8801130253452862
445,-0.046436154858383094
446,0.28606267463745244
447,0.0386742591648687
448,0.3295320078733696
449,-0.2663677092203418
450,0.020641552332338994
451,0.08994644601294462
452,0.7429360195259318
453,0.4550371295534332
454,-0.597070795202673
455,0.03836557111730074
456,0.8449668524847865
457,0.11091367613493558
458,-0.15118300902454462
459,-0.1801286822499613
460,0.3420595924374387
461,0.07010367057458555
462,-0.433056583324112
463,0.08313605133039223
464,0.27006109085840146
465,0.06673402890159554
466,-0.4193054491169768
467,-0.4024707962093561
468,0.35157192373440815
469,0.9125450111321334
470,0.5818356024989745
471,0.8273291969871027
472,0.5554483364805374
473,0.6695846148927745
474,-0.6744009009987934
475,0.16664145891955862
476,-0.20087880153544105
477,0.3690604907342525
