index,s,value_lower,value_upper
2461,2461/32,0,13/4000000000000000000000000000000
2462,1231/16,0,13/4000000000000000000000000000000
2463,2463/32,0,13/4000000000000000000000000000000
2464,77,0,13/4000000000000000000000000000000
2465,2465/32,0,13/4000000000000000000000000000000
2466,1233/16,0,13/4000000000000000000000000000000
2467,2467/32,0,13/4000000000000000000000000000000
2468,617/8,0,13/4000000000000000000000000000000
2469,2469/32,0,13/4000000000000000000000000000000
2470,1235/16,0,13/4000000000000000000000000000000
2471,2471/32,0,13/4000000000000000000000000000000
2472,309/4,0,13/4000000000000000000000000000000
2473,2473/32,0,13/4000000000000000000000000000000
2474,1237/16,0,13/4000000000000000000000000000000
2475,2475/32,0,13/4000000000000000000000000000000
2476,619/8,0,13/4000000000000000000000000000000
2477,2477/32,0,13/4000000000000000000000000000000
2478,1239/16,0,13/4000000000000000000000000000000
2479,2479/32,0,13/4000000000000000000000000000000
2480,155/2,0,13/4000000000000000000000000000000
2481,2481/32,0,13/4000000000000000000000000000000
2482,1241/16,0,13/4000000000000000000000000000000
2483,2483/32,0,13/4000000000000000000000000000000
2484,621/8,0,13/4000000000000000000000000000000
2485,2485/32,0,13/4000000000000000000000000000000
2486,1243/16,0,13/4000000000000000000000000000000
2487,2487/32,0,13/4000000000000000000000000000000
2488,311/4,0,13/4000000000000000000000000000000
2489,2489/32,0,13/4000000000000000000000000000000
2490,1245/16,0,13/4000000000000000000000000000000
2491,2491/32,0,13/4000000000000000000000000000000
2492,623/8,0,13/4000000000000000000000000000000
2493,2493/32,0,13/4000000000000000000000000000000
2494,1247/16,0,13/4000000000000000000000000000000
2495,2495/32,0,13/4000000000000000000000000000000
2496,78,0,13/4000000000000000000000000000000
2497,2497/32,0,13/4000000000000000000000000000000
2498,1249/16,0,13/4000000000000000000000000000000
2499,2499/32,0,13/4000000000000000000000000000000
2500,625/8,0,13/4000000000000000000000000000000
2501,2501/32,0,13/4000000000000000000000000000000
2502,1251/16,0,13/4000000000000000000000000000000
2503,2503/32,0,13/4000000000000000000000000000000
2504,313/4,0,13/4000000000000000000000000000000
2505,2505/32,0,13/4000000000000000000000000000000
2506,1253/16,0,13/4000000000000000000000000000000
2507,2507/32,0,13/4000000000000000000000000000000
2508,627/8,0,13/4000000000000000000000000000000
2509,2509/32,0,13/4000000000000000000000000000000
2510,1255/16,0,13/4000000000000000000000000000000
2511,2511/32,0,13/4000000000000000000000000000000
2512,157/2,0,13/4000000000000000000000000000000
2513,2513/32,0,13/4000000000000000000000000000000
2514,1257/16,0,13/4000000000000000000000000000000
2515,2515/32,0,13/4000000000000000000000000000000
2516,629/8,0,13/4000000000000000000000000000000
2517,2517/32,0,13/4000000000000000000000000000000
2518,1259/16,0,13/4000000000000000000000000000000
2519,2519/32,0,13/4000000000000000000000000000000
2520,315/4,0,13/4000000000000000000000000000000
2521,2521/32,0,13/4000000000000000000000000000000
2522,1261/16,0,13/4000000000000000000000000000000
2523,2523/32,0,13/4000000000000000000000000000000
2524,631/8,0,13/4000000000000000000000000000000
2525,2525/32,0,13/4000000000000000000000000000000
2526,1263/16,0,13/4000000000000000000000000000000
2527,2527/32,0,13/4000000000000000000000000000000
2528,79,0,13/4000000000000000000000000000000
2529,2529/32,0,13/4000000000000000000000000000000
2530,1265/16,0,13/4000000000000000000000000000000
2531,2531/32,0,13/4000000000000000000000000000000
2532,633/8,0,13/4000000000000000000000000000000
2533,2533/32,0,13/4000000000000000000000000000000
2534,1267/16,0,13/4000000000000000000000000000000
2535,2535/32,0,13/4000000000000000000000000000000
2536,317/4,0,13/4000000000000000000000000000000
2537,2537/32,0,13/4000000000000000000000000000000
2538,1269/16,0,13/4000000000000000000000000000000
2539,2539/32,0,13/4000000000000000000000000000000
2540,635/8,0,13/4000000000000000000000000000000
2541,2541/32,0,13/4000000000000000000000000000000
2542,1271/16,0,13/4000000000000000000000000000000
2543,2543/32,0,13/4000000000000000000000000000000
2544,159/2,0,13/4000000000000000000000000000000
2545,2545/32,0,13/4000000000000000000000000000000
2546,1273/16,0,13/4000000000000000000000000000000
2547,2547/32,0,13/4000000000000000000000000000000
2548,637/8,0,13/4000000000000000000000000000000
2549,2549/32,0,13/4000000000000000000000000000000
2550,1275/16,0,13/4000000000000000000000000000000
2551,2551/32,0,13/4000000000000000000000000000000
2552,319/4,0,13/4000000000000000000000000000000
2553,2553/32,0,13/4000000000000000000000000000000
2554,1277/16,0,13/4000000000000000000000000000000
2555,2555/32,0,13/4000000000000000000000000000000
2556,639/8,0,13/4000000000000000000000000000000
2557,2557/32,0,13/4000000000000000000000000000000
2558,1279/16,0,13/4000000000000000000000000000000
2559,2559/32,0,13/4000000000000000000000000000000
2560,80,0,13/4000000000000000000000000000000
2561,2561/32,0,13/4000000000000000000000000000000
2562,1281/16,0,13/4000000000000000000000000000000
2563,2563/32,0,13/4000000000000000000000000000000
2564,641/8,0,13/4000000000000000000000000000000
2565,2565/32,0,13/4000000000000000000000000000000
2566,1283/16,0,13/4000000000000000000000000000000
2567,2567/32,0,13/4000000000000000000000000000000
2568,321/4,0,13/4000000000000000000000000000000
2569,2569/32,0,13/4000000000000000000000000000000
2570,1285/16,0,13/4000000000000000000000000000000
2571,2571/32,0,13/4000000000000000000000000000000
2572,643/8,0,13/4000000000000000000000000000000
2573,2573/32,0,13/4000000000000000000000000000000
2574,1287/16,0,13/4000000000000000000000000000000
2575,2575/32,0,13/4000000000000000000000000000000
2576,161/2,0,13/4000000000000000000000000000000
2577,2577/32,0,13/4000000000000000000000000000000
2578,1289/16,0,13/4000000000000000000000000000000
2579,2579/32,0,13/4000000000000000000000000000000
2580,645/8,0,13/4000000000000000000000000000000
2581,2581/32,0,13/4000000000000000000000000000000
2582,1291/16,0,13/4000000000000000000000000000000
2583,2583/32,0,13/4000000000000000000000000000000
2584,323/4,0,13/4000000000000000000000000000000
2585,2585/32,0,13/4000000000000000000000000000000
2586,1293/16,0,13/4000000000000000000000000000000
2587,2587/32,0,13/4000000000000000000000000000000
2588,647/8,0,13/4000000000000000000000000000000
2589,2589/32,0,13/4000000000000000000000000000000
2590,1295/16,0,13/4000000000000000000000000000000
2591,2591/32,0,13/4000000000000000000000000000000
2592,81,0,13/4000000000000000000000000000000
2593,2593/32,0,13/4000000000000000000000000000000
2594,1297/16,0,13/4000000000000000000000000000000
2595,2595/32,0,13/4000000000000000000000000000000
2596,649/8,0,13/4000000000000000000000000000000
2597,2597/32,0,13/4000000000000000000000000000000
2598,1299/16,0,13/4000000000000000000000000000000
2599,2599/32,0,13/4000000000000000000000000000000
2600,325/4,0,13/4000000000000000000000000000000
2601,2601/32,0,13/4000000000000000000000000000000
2602,1301/16,0,13/4000000000000000000000000000000
2603,2603/32,0,13/4000000000000000000000000000000
2604,651/8,0,13/4000000000000000000000000000000
2605,2605/32,0,13/4000000000000000000000000000000
2606,1303/16,0,13/4000000000000000000000000000000
2607,2607/32,0,13/4000000000000000000000000000000
2608,163/2,0,13/4000000000000000000000000000000
2609,2609/32,0,13/4000000000000000000000000000000
2610,1305/16,0,13/4000000000000000000000000000000
2611,2611/32,0,13/4000000000000000000000000000000
2612,653/8,0,13/4000000000000000000000000000000
2613,2613/32,0,13/4000000000000000000000000000000
2614,1307/16,0,13/4000000000000000000000000000000
2615,2615/32,0,13/4000000000000000000000000000000
2616,327/4,0,13/4000000000000000000000000000000
2617,2617/32,0,13/4000000000000000000000000000000
2618,1309/16,0,13/4000000000000000000000000000000
2619,2619/32,0,13/4000000000000000000000000000000
2620,655/8,0,13/4000000000000000000000000000000
2621,2621/32,0,13/4000000000000000000000000000000
2622,1311/16,0,13/4000000000000000000000000000000
2623,2623/32,0,13/4000000000000000000000000000000
2624,82,0,13/4000000000000000000000000000000
2625,2625/32,0,13/4000000000000000000000000000000
2626,1313/16,0,13/4000000000000000000000000000000
2627,2627/32,0,13/4000000000000000000000000000000
2628,657/8,0,13/4000000000000000000000000000000
2629,2629/32,0,13/4000000000000000000000000000000
2630,1315/16,0,13/4000000000000000000000000000000
2631,2631/32,0,13/4000000000000000000000000000000
2632,329/4,0,13/4000000000000000000000000000000
2633,2633/32,0,13/4000000000000000000000000000000
2634,1317/16,0,13/4000000000000000000000000000000
2635,2635/32,0,13/4000000000000000000000000000000
2636,659/8,0,13/4000000000000000000000000000000
2637,2637/32,0,13/4000000000000000000000000000000
2638,1319/16,0,13/4000000000000000000000000000000
2639,2639/32,0,13/4000000000000000000000000000000
2640,165/2,0,13/4000000000000000000000000000000
2641,2641/32,0,13/4000000000000000000000000000000
2642,1321/16,0,13/4000000000000000000000000000000
2643,2643/32,0,13/4000000000000000000000000000000
2644,661/8,0,13/4000000000000000000000000000000
2645,2645/32,0,13/4000000000000000000000000000000
2646,1323/16,0,13/4000000000000000000000000000000
2647,2647/32,0,13/4000000000000000000000000000000
2648,331/4,0,13/4000000000000000000000000000000
2649,2649/32,0,13/4000000000000000000000000000000
2650,1325/16,0,13/4000000000000000000000000000000
2651,2651/32,0,13/4000000000000000000000000000000
2652,663/8,0,13/4000000000000000000000000000000
2653,2653/32,0,13/4000000000000000000000000000000
2654,1327/16,0,13/4000000000000000000000000000000
2655,2655/32,0,13/4000000000000000000000000000000
2656,83,0,13/4000000000000000000000000000000
2657,2657/32,0,13/4000000000000000000000000000000
2658,1329/16,0,13/4000000000000000000000000000000
2659,2659/32,0,13/4000000000000000000000000000000
2660,665/8,0,13/4000000000000000000000000000000
2661,2661/32,0,13/4000000000000000000000000000000
2662,1331/16,0,13/4000000000000000000000000000000
2663,2663/32,0,13/4000000000000000000000000000000
2664,333/4,0,13/4000000000000000000000000000000
2665,2665/32,0,13/4000000000000000000000000000000
2666,1333/16,0,13/4000000000000000000000000000000
2667,2667/32,0,13/4000000000000000000000000000000
2668,667/8,0,13/4000000000000000000000000000000
2669,2669/32,0,13/4000000000000000000000000000000
2670,1335/16,0,13/4000000000000000000000000000000
2671,2671/32,0,13/4000000000000000000000000000000
2672,167/2,0,13/4000000000000000000000000000000
2673,2673/32,0,13/4000000000000000000000000000000
2674,1337/16,0,13/4000000000000000000000000000000
2675,2675/32,0,13/4000000000000000000000000000000
2676,669/8,0,13/4000000000000000000000000000000
2677,2677/32,0,13/4000000000000000000000000000000
2678,1339/16,0,13/4000000000000000000000000000000
2679,2679/32,0,13/4000000000000000000000000000000
2680,335/4,0,13/4000000000000000000000000000000
2681,2681/32,0,13/4000000000000000000000000000000
2682,1341/16,0,13/4000000000000000000000000000000
2683,2683/32,0,13/4000000000000000000000000000000
2684,671/8,0,13/4000000000000000000000000000000
2685,2685/32,0,13/4000000000000000000000000000000
2686,1343/16,0,13/4000000000000000000000000000000
2687,2687/32,0,13/4000000000000000000000000000000
2688,84,0,13/4000000000000000000000000000000
2689,2689/32,0,13/4000000000000000000000000000000
2690,1345/16,0,13/4000000000000000000000000000000
2691,2691/32,0,13/4000000000000000000000000000000
2692,673/8,0,13/4000000000000000000000000000000
2693,2693/32,0,13/4000000000000000000000000000000
2694,1347/16,0,13/4000000000000000000000000000000
2695,2695/32,0,13/4000000000000000000000000000000
2696,337/4,0,13/4000000000000000000000000000000
2697,2697/32,0,13/4000000000000000000000000000000
2698,1349/16,0,13/4000000000000000000000000000000
2699,2699/32,0,13/4000000000000000000000000000000
2700,675/8,0,13/4000000000000000000000000000000
2701,2701/32,0,13/4000000000000000000000000000000
2702,1351/16,0,13/4000000000000000000000000000000
2703,2703/32,0,13/4000000000000000000000000000000
2704,169/2,0,13/4000000000000000000000000000000
2705,2705/32,0,13/4000000000000000000000000000000
2706,1353/16,0,13/4000000000000000000000000000000
2707,2707/32,0,13/4000000000000000000000000000000
2708,677/8,0,13/4000000000000000000000000000000
2709,2709/32,0,13/4000000000000000000000000000000
2710,1355/16,0,13/4000000000000000000000000000000
2711,2711/32,0,13/4000000000000000000000000000000
2712,339/4,0,13/4000000000000000000000000000000
2713,2713/32,0,13/4000000000000000000000000000000
2714,1357/16,0,13/4000000000000000000000000000000
2715,2715/32,0,13/4000000000000000000000000000000
2716,679/8,0,13/4000000000000000000000000000000
2717,2717/32,0,13/4000000000000000000000000000000
2718,1359/16,0,13/4000000000000000000000000000000
2719,2719/32,0,13/4000000000000000000000000000000
2720,85,0,13/4000000000000000000000000000000
2721,2721/32,0,13/4000000000000000000000000000000
2722,1361/16,0,13/4000000000000000000000000000000
2723,2723/32,0,13/4000000000000000000000000000000
2724,681/8,0,13/4000000000000000000000000000000
2725,2725/32,0,13/4000000000000000000000000000000
2726,1363/16,0,13/4000000000000000000000000000000
2727,2727/32,0,13/4000000000000000000000000000000
2728,341/4,0,13/4000000000000000000000000000000
2729,2729/32,0,13/4000000000000000000000000000000
2730,1365/16,0,13/4000000000000000000000000000000
2731,2731/32,0,13/4000000000000000000000000000000
2732,683/8,0,13/4000000000000000000000000000000
2733,2733/32,0,13/4000000000000000000000000000000
2734,1367/16,0,13/4000000000000000000000000000000
2735,2735/32,0,13/4000000000000000000000000000000
2736,171/2,0,13/4000000000000000000000000000000
2737,2737/32,0,13/4000000000000000000000000000000
2738,1369/16,0,13/4000000000000000000000000000000
2739,2739/32,0,13/4000000000000000000000000000000
2740,685/8,0,13/4000000000000000000000000000000
2741,2741/32,0,13/4000000000000000000000000000000
2742,1371/16,0,13/4000000000000000000000000000000
2743,2743/32,0,13/4000000000000000000000000000000
2744,343/4,0,13/4000000000000000000000000000000
2745,2745/32,0,13/4000000000000000000000000000000
2746,1373/16,0,13/4000000000000000000000000000000
2747,2747/32,0,13/4000000000000000000000000000000
2748,687/8,0,13/4000000000000000000000000000000
2749,2749/32,0,13/4000000000000000000000000000000
2750,1375/16,0,13/4000000000000000000000000000000
2751,2751/32,0,13/4000000000000000000000000000000
2752,86,0,13/4000000000000000000000000000000
2753,2753/32,0,13/4000000000000000000000000000000
2754,1377/16,0,13/4000000000000000000000000000000
2755,2755/32,0,13/4000000000000000000000000000000
2756,689/8,0,13/4000000000000000000000000000000
2757,2757/32,0,13/4000000000000000000000000000000
2758,1379/16,0,13/4000000000000000000000000000000
2759,2759/32,0,13/4000000000000000000000000000000
2760,345/4,0,13/4000000000000000000000000000000
2761,2761/32,0,13/4000000000000000000000000000000
2762,1381/16,0,13/4000000000000000000000000000000
2763,2763/32,0,13/4000000000000000000000000000000
2764,691/8,0,13/4000000000000000000000000000000
2765,2765/32,0,13/4000000000000000000000000000000
2766,1383/16,0,13/4000000000000000000000000000000
2767,2767/32,0,13/4000000000000000000000000000000
2768,173/2,0,13/4000000000000000000000000000000
2769,2769/32,0,13/4000000000000000000000000000000
2770,1385/16,0,13/4000000000000000000000000000000
2771,2771/32,0,13/4000000000000000000000000000000
2772,693/8,0,13/4000000000000000000000000000000
2773,2773/32,0,13/4000000000000000000000000000000
2774,1387/16,0,13/4000000000000000000000000000000
2775,2775/32,0,13/4000000000000000000000000000000
2776,347/4,0,13/4000000000000000000000000000000
2777,2777/32,0,13/4000000000000000000000000000000
2778,1389/16,0,13/4000000000000000000000000000000
2779,2779/32,0,13/4000000000000000000000000000000
2780,695/8,0,13/4000000000000000000000000000000
2781,2781/32,0,13/4000000000000000000000000000000
2782,1391/16,0,13/4000000000000000000000000000000
2783,2783/32,0,13/4000000000000000000000000000000
2784,87,0,13/4000000000000000000000000000000
2785,2785/32,0,13/4000000000000000000000000000000
2786,1393/16,0,13/4000000000000000000000000000000
2787,2787/32,0,13/4000000000000000000000000000000
2788,697/8,0,13/4000000000000000000000000000000
2789,2789/32,0,13/4000000000000000000000000000000
2790,1395/16,0,13/4000000000000000000000000000000
2791,2791/32,0,13/4000000000000000000000000000000
2792,349/4,0,13/4000000000000000000000000000000
2793,2793/32,0,13/4000000000000000000000000000000
2794,1397/16,0,13/4000000000000000000000000000000
2795,2795/32,0,13/4000000000000000000000000000000
2796,699/8,0,13/4000000000000000000000000000000
2797,2797/32,0,13/4000000000000000000000000000000
2798,1399/16,0,13/4000000000000000000000000000000
2799,2799/32,0,13/4000000000000000000000000000000
2800,175/2,0,13/4000000000000000000000000000000
2801,2801/32,0,13/4000000000000000000000000000000
2802,1401/16,0,13/4000000000000000000000000000000
2803,2803/32,0,13/4000000000000000000000000000000
2804,701/8,0,13/4000000000000000000000000000000
2805,2805/32,0,13/4000000000000000000000000000000
2806,1403/16,0,13/4000000000000000000000000000000
2807,2807/32,0,13/4000000000000000000000000000000
2808,351/4,0,13/4000000000000000000000000000000
2809,2809/32,0,13/4000000000000000000000000000000
2810,1405/16,0,13/4000000000000000000000000000000
2811,2811/32,0,13/4000000000000000000000000000000
2812,703/8,0,13/4000000000000000000000000000000
2813,2813/32,0,13/4000000000000000000000000000000
2814,1407/16,0,13/4000000000000000000000000000000
2815,2815/32,0,13/4000000000000000000000000000000
2816,88,0,13/4000000000000000000000000000000
2817,2817/32,0,13/4000000000000000000000000000000
2818,1409/16,0,13/4000000000000000000000000000000
2819,2819/32,0,13/4000000000000000000000000000000
2820,705/8,0,13/4000000000000000000000000000000
2821,2821/32,0,13/4000000000000000000000000000000
2822,1411/16,0,13/4000000000000000000000000000000
2823,2823/32,0,13/4000000000000000000000000000000
2824,353/4,0,13/4000000000000000000000000000000
2825,2825/32,0,13/4000000000000000000000000000000
2826,1413/16,0,13/4000000000000000000000000000000
2827,2827/32,0,13/4000000000000000000000000000000
2828,707/8,0,13/4000000000000000000000000000000
2829,2829/32,0,13/4000000000000000000000000000000
2830,1415/16,0,13/4000000000000000000000000000000
2831,2831/32,0,13/4000000000000000000000000000000
2832,177/2,0,13/4000000000000000000000000000000
2833,2833/32,0,13/4000000000000000000000000000000
2834,1417/16,0,13/4000000000000000000000000000000
2835,2835/32,0,13/4000000000000000000000000000000
2836,709/8,0,13/4000000000000000000000000000000
2837,2837/32,0,13/4000000000000000000000000000000
2838,1419/16,0,13/4000000000000000000000000000000
2839,2839/32,0,13/4000000000000000000000000000000
2840,355/4,0,13/4000000000000000000000000000000
2841,2841/32,0,13/4000000000000000000000000000000
2842,1421/16,0,13/4000000000000000000000000000000
2843,2843/32,0,13/4000000000000000000000000000000
2844,711/8,0,13/4000000000000000000000000000000
2845,2845/32,0,13/4000000000000000000000000000000
2846,1423/16,0,13/4000000000000000000000000000000
2847,2847/32,0,13/4000000000000000000000000000000
2848,89,0,13/4000000000000000000000000000000
2849,2849/32,0,13/4000000000000000000000000000000
2850,1425/16,0,13/4000000000000000000000000000000
2851,2851/32,0,13/4000000000000000000000000000000
2852,713/8,0,13/4000000000000000000000000000000
2853,2853/32,0,13/4000000000000000000000000000000
2854,1427/16,0,13/4000000000000000000000000000000
2855,2855/32,0,13/4000000000000000000000000000000
2856,357/4,0,13/4000000000000000000000000000000
2857,2857/32,0,13/4000000000000000000000000000000
2858,1429/16,0,13/4000000000000000000000000000000
2859,2859/32,0,13/4000000000000000000000000000000
2860,715/8,0,13/4000000000000000000000000000000
2861,2861/32,0,13/4000000000000000000000000000000
2862,1431/16,0,13/4000000000000000000000000000000
2863,2863/32,0,13/4000000000000000000000000000000
2864,179/2,0,13/4000000000000000000000000000000
2865,2865/32,0,13/4000000000000000000000000000000
2866,1433/16,0,13/4000000000000000000000000000000
2867,2867/32,0,13/4000000000000000000000000000000
2868,717/8,0,13/4000000000000000000000000000000
2869,2869/32,0,13/4000000000000000000000000000000
2870,1435/16,0,13/4000000000000000000000000000000
2871,2871/32,0,13/4000000000000000000000000000000
2872,359/4,0,13/4000000000000000000000000000000
2873,2873/32,0,13/4000000000000000000000000000000
2874,1437/16,0,13/4000000000000000000000000000000
2875,2875/32,0,13/4000000000000000000000000000000
2876,719/8,0,13/4000000000000000000000000000000
2877,2877/32,0,13/4000000000000000000000000000000
2878,1439/16,0,13/4000000000000000000000000000000
2879,2879/32,0,13/4000000000000000000000000000000
2880,90,0,13/4000000000000000000000000000000
2881,2881/32,0,13/4000000000000000000000000000000
2882,1441/16,0,13/4000000000000000000000000000000
2883,2883/32,0,13/4000000000000000000000000000000
2884,721/8,0,13/4000000000000000000000000000000
2885,2885/32,0,13/4000000000000000000000000000000
2886,1443/16,0,13/4000000000000000000000000000000
2887,2887/32,0,13/4000000000000000000000000000000
2888,361/4,0,13/4000000000000000000000000000000
2889,2889/32,0,13/4000000000000000000000000000000
2890,1445/16,0,13/4000000000000000000000000000000
2891,2891/32,0,13/4000000000000000000000000000000
2892,723/8,0,13/4000000000000000000000000000000
2893,2893/32,0,13/4000000000000000000000000000000
2894,1447/16,0,13/4000000000000000000000000000000
2895,2895/32,0,13/4000000000000000000000000000000
2896,181/2,0,13/4000000000000000000000000000000
2897,2897/32,0,13/4000000000000000000000000000000
2898,1449/16,0,13/4000000000000000000000000000000
2899,2899/32,0,13/4000000000000000000000000000000
2900,725/8,0,13/4000000000000000000000000000000
2901,2901/32,0,13/4000000000000000000000000000000
2902,1451/16,0,13/4000000000000000000000000000000
2903,2903/32,0,13/4000000000000000000000000000000
2904,363/4,0,13/4000000000000000000000000000000
2905,2905/32,0,13/4000000000000000000000000000000
2906,1453/16,0,13/4000000000000000000000000000000
2907,2907/32,0,13/4000000000000000000000000000000
2908,727/8,0,13/4000000000000000000000000000000
2909,2909/32,0,13/4000000000000000000000000000000
2910,1455/16,0,13/4000000000000000000000000000000
2911,2911/32,0,13/4000000000000000000000000000000
2912,91,0,13/4000000000000000000000000000000
2913,2913/32,0,13/4000000000000000000000000000000
2914,1457/16,0,13/4000000000000000000000000000000
2915,2915/32,0,13/4000000000000000000000000000000
2916,729/8,0,13/4000000000000000000000000000000
2917,2917/32,0,13/4000000000000000000000000000000
2918,1459/16,0,13/4000000000000000000000000000000
2919,2919/32,0,13/4000000000000000000000000000000
2920,365/4,0,13/4000000000000000000000000000000
2921,2921/32,0,13/4000000000000000000000000000000
2922,1461/16,0,13/4000000000000000000000000000000
2923,2923/32,0,13/4000000000000000000000000000000
2924,731/8,0,13/4000000000000000000000000000000
2925,2925/32,0,13/4000000000000000000000000000000
2926,1463/16,0,13/4000000000000000000000000000000
2927,2927/32,0,13/4000000000000000000000000000000
2928,183/2,0,13/4000000000000000000000000000000
2929,2929/32,0,13/4000000000000000000000000000000
2930,1465/16,0,13/4000000000000000000000000000000
2931,2931/32,0,13/4000000000000000000000000000000
2932,733/8,0,13/4000000000000000000000000000000
2933,2933/32,0,13/4000000000000000000000000000000
2934,1467/16,0,13/4000000000000000000000000000000
2935,2935/32,0,13/4000000000000000000000000000000
2936,367/4,0,13/4000000000000000000000000000000
2937,2937/32,0,13/4000000000000000000000000000000
2938,1469/16,0,13/4000000000000000000000000000000
2939,2939/32,0,13/4000000000000000000000000000000
2940,735/8,0,13/4000000000000000000000000000000
2941,2941/32,0,13/4000000000000000000000000000000
2942,1471/16,0,13/4000000000000000000000000000000
2943,2943/32,0,13/4000000000000000000000000000000
2944,92,0,13/4000000000000000000000000000000
2945,2945/32,0,13/4000000000000000000000000000000
2946,1473/16,0,13/4000000000000000000000000000000
2947,2947/32,0,13/4000000000000000000000000000000
2948,737/8,0,13/4000000000000000000000000000000
2949,2949/32,0,13/4000000000000000000000000000000
2950,1475/16,0,13/4000000000000000000000000000000
2951,2951/32,0,13/4000000000000000000000000000000
2952,369/4,0,13/4000000000000000000000000000000
2953,2953/32,0,13/4000000000000000000000000000000
2954,1477/16,0,13/4000000000000000000000000000000
2955,2955/32,0,13/4000000000000000000000000000000
2956,739/8,0,13/4000000000000000000000000000000
2957,2957/32,0,13/4000000000000000000000000000000
2958,1479/16,0,13/4000000000000000000000000000000
2959,2959/32,0,13/4000000000000000000000000000000
2960,185/2,0,13/4000000000000000000000000000000
2961,2961/32,0,13/4000000000000000000000000000000
2962,1481/16,0,13/4000000000000000000000000000000
2963,2963/32,0,13/4000000000000000000000000000000
2964,741/8,0,13/4000000000000000000000000000000
2965,2965/32,0,13/4000000000000000000000000000000
2966,1483/16,0,13/4000000000000000000000000000000
2967,2967/32,0,13/4000000000000000000000000000000
2968,371/4,0,13/4000000000000000000000000000000
2969,2969/32,0,13/4000000000000000000000000000000
2970,1485/16,0,13/4000000000000000000000000000000
2971,2971/32,0,13/4000000000000000000000000000000
2972,743/8,0,13/4000000000000000000000000000000
2973,2973/32,0,13/4000000000000000000000000000000
2974,1487/16,0,13/4000000000000000000000000000000
2975,2975/32,0,13/4000000000000000000000000000000
2976,93,0,13/4000000000000000000000000000000
2977,2977/32,0,13/4000000000000000000000000000000
2978,1489/16,0,13/4000000000000000000000000000000
2979,2979/32,0,13/4000000000000000000000000000000
2980,745/8,0,13/4000000000000000000000000000000
2981,2981/32,0,13/4000000000000000000000000000000
2982,1491/16,0,13/4000000000000000000000000000000
2983,2983/32,0,13/4000000000000000000000000000000
2984,373/4,0,13/4000000000000000000000000000000
2985,2985/32,0,13/4000000000000000000000000000000
2986,1493/16,0,13/4000000000000000000000000000000
2987,2987/32,0,13/4000000000000000000000000000000
2988,747/8,0,13/4000000000000000000000000000000
2989,2989/32,0,13/4000000000000000000000000000000
2990,1495/16,0,13/4000000000000000000000000000000
2991,2991/32,0,13/4000000000000000000000000000000
2992,187/2,0,13/4000000000000000000000000000000
2993,2993/32,0,13/4000000000000000000000000000000
2994,1497/16,0,13/4000000000000000000000000000000
2995,2995/32,0,13/4000000000000000000000000000000
2996,749/8,0,13/4000000000000000000000000000000
2997,2997/32,0,13/4000000000000000000000000000000
2998,1499/16,0,13/4000000000000000000000000000000
2999,2999/32,0,13/4000000000000000000000000000000
3000,375/4,0,13/4000000000000000000000000000000
3001,3001/32,0,13/4000000000000000000000000000000
3002,1501/16,0,13/4000000000000000000000000000000
3003,3003/32,0,13/4000000000000000000000000000000
3004,751/8,0,13/4000000000000000000000000000000
3005,3005/32,0,13/4000000000000000000000000000000
3006,1503/16,0,13/4000000000000000000000000000000
3007,3007/32,0,13/4000000000000000000000000000000
3008,94,0,13/4000000000000000000000000000000
3009,3009/32,0,13/4000000000000000000000000000000
3010,1505/16,0,13/4000000000000000000000000000000
3011,3011/32,0,13/4000000000000000000000000000000
3012,753/8,0,13/4000000000000000000000000000000
3013,3013/32,0,13/4000000000000000000000000000000
3014,1507/16,0,13/4000000000000000000000000000000
3015,3015/32,0,13/4000000000000000000000000000000
3016,377/4,0,13/4000000000000000000000000000000
3017,3017/32,0,13/4000000000000000000000000000000
3018,1509/16,0,13/4000000000000000000000000000000
3019,3019/32,0,13/4000000000000000000000000000000
3020,755/8,0,13/4000000000000000000000000000000
3021,3021/32,0,13/4000000000000000000000000000000
3022,1511/16,0,13/4000000000000000000000000000000
3023,3023/32,0,13/4000000000000000000000000000000
3024,189/2,0,13/4000000000000000000000000000000
3025,3025/32,0,13/4000000000000000000000000000000
3026,1513/16,0,13/4000000000000000000000000000000
3027,3027/32,0,13/4000000000000000000000000000000
3028,757/8,0,13/4000000000000000000000000000000
3029,3029/32,0,13/4000000000000000000000000000000
3030,1515/16,0,13/4000000000000000000000000000000
3031,3031/32,0,13/4000000000000000000000000000000
3032,379/4,0,13/4000000000000000000000000000000
3033,3033/32,0,13/4000000000000000000000000000000
3034,1517/16,0,13/4000000000000000000000000000000
3035,3035/32,0,13/4000000000000000000000000000000
3036,759/8,0,13/4000000000000000000000000000000
3037,3037/32,0,13/4000000000000000000000000000000
3038,1519/16,0,13/4000000000000000000000000000000
3039,3039/32,0,13/4000000000000000000000000000000
3040,95,0,13/4000000000000000000000000000000
3041,3041/32,0,13/4000000000000000000000000000000
3042,1521/16,0,13/4000000000000000000000000000000
3043,3043/32,0,13/4000000000000000000000000000000
3044,761/8,0,13/4000000000000000000000000000000
3045,3045/32,0,13/4000000000000000000000000000000
3046,1523/16,0,13/4000000000000000000000000000000
3047,3047/32,0,13/4000000000000000000000000000000
3048,381/4,0,13/4000000000000000000000000000000
3049,3049/32,0,13/4000000000000000000000000000000
3050,1525/16,0,13/4000000000000000000000000000000
