index,s,value_lower,value_upper
1777,1777/32,11937/500000000000000000000000000000,764073/32000000000000000000000000000000
1778,889/16,740463/32000000000000000000000000000000,92571/4000000000000000000000000000000
1779,1779/32,717681/32000000000000000000000000000000,358893/16000000000000000000000000000000
1780,445/8,1739/80000000000000000000000000000,139141/6400000000000000000000000000000
1781,1781/32,337099/16000000000000000000000000000000,674303/32000000000000000000000000000000
1782,891/16,130691/6400000000000000000000000000000,16339/800000000000000000000000000000
1783,1783/32,12667/640000000000000000000000000000,126691/6400000000000000000000000000000
1784,223/4,613863/32000000000000000000000000000000,38373/2000000000000000000000000000000
1785,1785/32,18593/1000000000000000000000000000000,595081/32000000000000000000000000000000
1786,893/16,57667/3200000000000000000000000000000,23071/1280000000000000000000000000000
1787,1787/32,558927/32000000000000000000000000000000,69879/4000000000000000000000000000000
1788,447/8,54173/3200000000000000000000000000000,108367/6400000000000000000000000000000
1789,1789/32,262531/16000000000000000000000000000000,525167/32000000000000000000000000000000
1790,895/16,508907/32000000000000000000000000000000,127253/8000000000000000000000000000000
1791,1791/32,493249/32000000000000000000000000000000,246677/16000000000000000000000000000000
1792,56,478073/32000000000000000000000000000000,239089/16000000000000000000000000000000
1793,1793/32,115841/8000000000000000000000000000000,463469/32000000000000000000000000000000
1794,897/16,449107/32000000000000000000000000000000,112303/8000000000000000000000000000000
1795,1795/32,435289/32000000000000000000000000000000,217697/16000000000000000000000000000000
1796,449/8,52737/4000000000000000000000000000000,422001/32000000000000000000000000000000
1797,1797/32,81783/6400000000000000000000000000000,20451/1600000000000000000000000000000
1798,899/16,198167/16000000000000000000000000000000,198219/16000000000000000000000000000000
1799,1799/32,19207/1600000000000000000000000000000,96061/8000000000000000000000000000000
1800,225/4,372321/32000000000000000000000000000000,14897/1280000000000000000000000000000
1801,1801/32,72173/6400000000000000000000000000000,360969/32000000000000000000000000000000
1802,901/16,174881/16000000000000000000000000000000,174933/16000000000000000000000000000000
1803,1803/32,339/32000000000000000000000000000,10597/1000000000000000000000000000000
1804,451/8,32857/3200000000000000000000000000000,164337/16000000000000000000000000000000
1805,1805/32,15923/1600000000000000000000000000000,79641/8000000000000000000000000000000
1806,903/16,154331/16000000000000000000000000000000,154383/16000000000000000000000000000000
1807,1807/32,59833/6400000000000000000000000000000,299269/32000000000000000000000000000000
1808,113/2,7249/800000000000000000000000000000,18129/2000000000000000000000000000000
1809,1809/32,140519/16000000000000000000000000000000,140571/16000000000000000000000000000000
1810,905/16,272391/32000000000000000000000000000000,54499/6400000000000000000000000000000
1811,1811/32,26401/3200000000000000000000000000000,132057/16000000000000000000000000000000
1812,453/8,255887/32000000000000000000000000000000,255991/32000000000000000000000000000000
1813,1813/32,124007/16000000000000000000000000000000,124059/16000000000000000000000000000000
1814,907/16,240383/32000000000000000000000000000000,240487/32000000000000000000000000000000
1815,1815/32,232987/32000000000000000000000000000000,233091/32000000000000000000000000000000
1816,227/4,112909/16000000000000000000000000000000,112961/16000000000000000000000000000000
1817,1817/32,21887/3200000000000000000000000000000,109487/16000000000000000000000000000000
1818,909/16,26517/4000000000000000000000000000000,2653/400000000000000000000000000000
1819,1819/32,205609/32000000000000000000000000000000,205713/32000000000000000000000000000000
1820,455/8,199283/32000000000000000000000000000000,199387/32000000000000000000000000000000
1821,1821/32,193151/32000000000000000000000000000000,38651/6400000000000000000000000000000
1822,911/16,23401/4000000000000000000000000000000,11707/2000000000000000000000000000000
1823,1823/32,22681/4000000000000000000000000000000,11347/2000000000000000000000000000000
1824,57,35173/6400000000000000000000000000000,175969/32000000000000000000000000000000
1825,1825/32,85227/16000000000000000000000000000000,85279/16000000000000000000000000000000
1826,913/16,165209/32000000000000000000000000000000,165313/32000000000000000000000000000000
1827,1827/32,80063/16000000000000000000000000000000,16023/3200000000000000000000000000000
1828,457/8,155199/32000000000000000000000000000000,155303/32000000000000000000000000000000
1829,1829/32,18803/4000000000000000000000000000000,147/31250000000000000000000000000
1830,915/16,29159/6400000000000000000000000000000,145899/32000000000000000000000000000000
1831,1831/32,141309/32000000000000000000000000000000,141413/32000000000000000000000000000000
1832,229/4,136961/32000000000000000000000000000000,27413/6400000000000000000000000000000
1833,1833/32,132747/32000000000000000000000000000000,132851/32000000000000000000000000000000
1834,917/16,64331/16000000000000000000000000000000,64383/16000000000000000000000000000000
1835,1835/32,124703/32000000000000000000000000000000,124807/32000000000000000000000000000000
1836,459/8,60433/16000000000000000000000000000000,12097/3200000000000000000000000000000
1837,1837/32,117147/32000000000000000000000000000000,117251/32000000000000000000000000000000
1838,919/16,56771/16000000000000000000000000000000,56823/16000000000000000000000000000000
1839,1839/32,3439/1000000000000000000000000000000,13769/4000000000000000000000000000000
1840,115/2,53331/16000000000000000000000000000000,53383/16000000000000000000000000000000
1841,1841/32,5169/1600000000000000000000000000000,25871/8000000000000000000000000000000
1842,921/16,100199/32000000000000000000000000000000,100303/32000000000000000000000000000000
1843,1843/32,24279/8000000000000000000000000000000,4861/1600000000000000000000000000000
1844,461/8,5883/2000000000000000000000000000000,11779/4000000000000000000000000000000
1845,1845/32,91231/32000000000000000000000000000000,11417/4000000000000000000000000000000
1846,923/16,11053/4000000000000000000000000000000,88529/32000000000000000000000000000000
1847,1847/32,85703/32000000000000000000000000000000,5363/2000000000000000000000000000000
1848,231/4,41533/16000000000000000000000000000000,83171/32000000000000000000000000000000
1849,1849/32,8051/3200000000000000000000000000000,16123/6400000000000000000000000000000
1850,925/16,4877/2000000000000000000000000000000,78137/32000000000000000000000000000000
1851,1851/32,75631/32000000000000000000000000000000,9467/4000000000000000000000000000000
