case,degree,t,energy,integrated_work,work_defect,norm_defect
reduced,6,0.30000000000000004,0.027246944948135475,0.027246944948032807,1.0266787420221135e-13,-9.43689570931383e-15
reduced,6,0.35000000000000003,0.03683643721221518,0.03683643721256086,-3.456748776109464e-13,-5.0182080713057076e-14
reduced,6,0.4,0.04773807867159335,0.04773807867157868,1.466882171285988e-14,2.886579864025407e-15
reduced,6,0.45,0.059883345397628955,0.0598833453974215,2.074521110451144e-13,-6.661338147750939e-15
reduced,6,0.5,0.0731955757696413,0.07319557577006204,-4.207467707573187e-13,-1.5765166949677223e-14
reduced,6,0.55,0.08759039420843451,0.08759039420841719,1.7319479184152442e-14,5.773159728050814e-15
reduced,6,0.6000000000000001,0.10297620607390298,0.10297620607390412,-1.1379786002407855e-15,-3.452793606584237e-14
reduced,6,0.65,0.11925476560821789,0.1192547656082099,7.993605777301127e-15,-2.55351295663786e-15
reduced,6,0.7000000000000001,0.13632181688275,0.13632181688253958,2.104150187420828e-13,4.263256414560601e-14
reduced,6,0.75,0.15406780549744456,0.1540678054979926,-5.480338405305929e-13,-7.827072323607354e-14
reduced,6,0.8,0.17237865642086198,0.17237865642085218,9.797718192317006e-15,2.4424906541753444e-15
reduced,6,0.8500000000000001,0.191136610948502,0.19113661094825235,2.496614026625821e-13,4.04121180963557e-14
reduced,6,0.9,0.21022111343559222,0.21022111343568245,-9.02333763264096e-14,-1.6653345369377348e-14
reduced,6,0.9500000000000001,0.22950973633743826,0.2295097363372691,1.6917023337725823e-13,4.907185768843192e-14
reduced,6,1.0,0.2488791302874605,0.24887913028790346,-4.4295123124982183e-13,-1.3344880755994382e-13
reduced,6,1.05,0.26820598458476214,0.26820598458474226,1.9872992140790302e-14,1.7763568394002505e-15
reduced,6,1.1,0.28736798257365587,0.2873679825732818,3.740896481474465e-13,1.1657341758564144e-13
reduced,6,1.1500000000000001,0.30624473613744263,0.30624473613763403,-1.91402449445377e-13,-7.294165271787278e-14
reduced,6,1.2000000000000002,0.32471868381908503,0.3247186838188974,1.8762769116165146e-13,5.81756864903582e-14
reduced,6,1.25,0.34267593799451085,0.34267593799495183,-4.409805853811122e-13,-1.801891968966629e-13
reduced,6,1.3,0.3600070680718493,0.3600070680718424,6.8833827526759706e-15,-5.10702591327572e-15
reduced,6,1.35,0.3766078086504385,0.37660780865043175,6.772360450213455e-15,-5.218048215738236e-15
reduced,6,1.4000000000000001,0.39237968412589935,0.39237968412589613,3.219646771412954e-15,-6.8833827526759706e-15
reduced,6,1.4500000000000002,0.40723054396756,0.4072305439675431,1.687538997430238e-14,-1.6653345369377348e-15
reduced,6,1.5,0.4210750059579458,0.4210750059579384,7.382983113757291e-15,-5.10702591327572e-15
reduced,6,1.55,0.433834807752372,0.4338348077523806,-8.604228440844963e-15,-1.1102230246251565e-14
reduced,6,1.6,0.44543907013303685,0.44543907013300604,3.0808688933348094e-14,2.886579864025407e-15
reduced,6,1.6500000000000001,0.4558244781240203,0.4558244781240389,-1.8596235662471372e-14,-1.4876988529977098e-14
reduced,6,1.7000000000000002,0.4649353885730662,0.46493538857301187,5.434541705540141e-14,1.0658141036401503e-14
reduced,6,1.75,0.47272387476676525,0.47272387476675787,7.382983113757291e-15,-5.440092820663267e-15
reduced,6,1.8,0.47914972004992273,0.47914972004992606,-3.3306690738754696e-15,-8.548717289613705e-15
reduced,6,1.85,0.48418037317341683,0.48418037317340157,1.5265566588595902e-14,-2.6645352591003757e-15
reduced,6,1.9000000000000001,0.48779087819236583,0.48779087819235806,7.771561172376096e-15,-4.9960036108132044e-15
reduced,6,1.9500000000000002,0.48996379115122657,0.4899637911512506,-2.403632848313464e-14,-1.4099832412739488e-14
reduced,6,2.0,0.4906890945721984,0.4906890945721912,7.216449660063518e-15,-5.218048215738236e-15
short,3,0.0,0.0,0.0,0.0,0.0
short,3,0.005,0.007706665635005912,0.007706665635011274,-5.362030264244311e-15,-9.992007221626409e-16
short,3,0.01,0.03077914645875433,0.030779146458746708,7.62237495344209e-15,-7.771561172376096e-16
short,3,0.015,0.06907517572504598,0.06907517572512065,-7.466249840604178e-14,-7.549516567451064e-15
short,3,0.02,0.12235857930734555,0.12235857930814956,-8.040096366457306e-13,-1.213473765915296e-13
short,3,0.025,0.1903006771375603,0.1903006771364526,1.1076972672441343e-12,-7.982503547054876e-14
short,3,0.03,0.27248223671677524,0.27248223671704097,-2.657318809440312e-13,-1.3211653993039363e-14
short,3,0.035,0.36839597012842745,0.3683959701295524,-1.1249334797014399e-12,-3.9968028886505635e-14
short,3,0.04,0.47744956344413003,0.4774495634474481,-3.318068042545974e-12,-1.4654943925052066e-13
short,3,0.045,0.5989692248128475,0.5989692248113765,1.4710455076283324e-12,-1.3788969965844444e-13
short,3,0.05,0.7322037348560744,0.7322037348567549,-6.80566714095221e-13,1.4876988529977098e-14
short,3,0.055,0.8763289802601348,0.8763289802622231,-2.088218487017457e-12,5.484501741648273e-14
short,3,0.06,1.0304529486556038,1.030452948666501,-1.0897283075905762e-11,2.4447111002245947e-13
short,3,0.065,1.1936211600223685,1.1936211600264988,-4.130251696210507e-12,-8.992806499463768e-14
short,3,0.07,1.364822506966583,1.364822506966739,-1.56097357262297e-13,-2.8976820942716586e-14
short,3,0.075,1.5429954732986997,1.5429954733000788,-1.3791190411893695e-12,4.418687638008123e-14
short,3,0.08,1.7270346974344386,1.7270346974401425,-5.703881811314204e-12,9.370282327836321e-13
short,3,0.085,1.9157978442595776,1.9157978442726489,-1.3071321802726743e-11,9.50128864474209e-13
short,3,0.09,2.1081127463115594,2.1081127463230427,-1.1483258788302919e-11,4.938272013532696e-13
short,3,0.095,2.3027847723884896,2.302784772391167,-2.6774138461860275e-12,-7.716050021144838e-14
short,3,0.1,2.498604379230254,2.498604379232224,-1.9699797348948778e-12,1.5543122344752192e-15
short,3,0.105,2.6943547994233614,2.6943547994169794,6.38200603475525e-12,1.0198508704206688e-12
short,3,0.11,2.888819816727929,2.888819816732416,-4.487077376325033e-12,5.799805080641818e-13
short,3,0.115,3.0807915780706474,3.0807915780881414,-1.7494006243623517e-11,7.709388682997087e-13
short,3,0.12,3.2690783899565288,3.269078389960034,-3.5051961333465442e-12,-3.9190872769268026e-14
short,3,0.125,3.4525124460430847,3.452512446043102,-1.7319479184152442e-14,6.306066779870889e-14
short,3,0.13,3.629957431634768,3.629957431620502,1.4265921777223411e-11,3.319566843629218e-13
short,3,0.135,3.800315950928803,3.8003159509496194,-2.0816237622511835e-11,7.882583474838611e-14
short,3,0.14,3.96253672273405,3.9625367227446064,-1.0556444607345838e-11,-1.432187701766452e-14
short,3,0.145,4.115621491316191,4.115621491321091,-4.900080341485591e-12,-1.0391687510491465e-13
short,3,0.15,4.2586316000832385,4.25863160007197,1.1268319610735489e-11,-8.126832540256146e-14
short,3,0.155,4.3906941777142645,4.390694177714148,1.163513729807164e-13,-4.655165142253281e-13
short,3,0.16,4.5110078885693,4.511007888616766,-4.746603110561409e-11,-1.0387246618392965e-12
short,3,0.165,4.618848202022965,4.618848202030256,-7.291056647318328e-12,-1.4954704141700859e-13
short,3,0.17,4.713572138685321,4.71357213869068,-5.359268584470556e-12,-1.48991929904696e-13
short,3,0.17500000000000002,4.794622455439239,4.7946224554322985,6.9402261715367786e-12,-3.432809592140984e-13
short,3,0.18,4.861531235211263,4.861531235251875,-4.0611958240788226e-11,-1.5978329770405253e-12
short,3,0.185,4.91392285247205,4.91392285249581,-2.376054908381775e-11,-1.014299755297543e-12
short,3,0.19,4.951516290009179,4.951516290018005,-8.825828956560144e-12,-1.397770788003072e-13
short,3,0.195,4.974126788518519,4.974126788527653,-9.134026868196088e-12,-1.553202011450594e-13
short,3,0.2,4.98166681566699,4.981666815675864,-8.874678769643651e-12,-1.3955503419538218e-13
short,4,0.0,0.0,0.0,0.0,0.0
short,4,0.005,0.007706665635005912,0.007706665635011267,-5.3550913703404035e-15,-9.992007221626409e-16
short,4,0.01,0.03077914645875433,0.030779146458746683,7.646661082105766e-15,-7.771561172376096e-16
short,4,0.015,0.06907517572504583,0.06907517572513855,-9.271750034400839e-14,-9.103828801926284e-15
short,4,0.02,0.1223585793073406,0.12235857930844542,-1.104810687380109e-12,-1.546540673302843e-13
short,4,0.025,0.19030067713755638,0.19030067713618531,1.371069924260837e-12,-1.0491607582707729e-13
short,4,0.03,0.27248223671677696,0.27248223671688143,-1.0447198661722723e-13,-8.770761894538737e-15
short,4,0.035,0.3683959701284333,0.36839597012927733,-8.440470544712753e-13,-2.708944180085382e-14
short,4,0.04,0.4774495634441052,0.4774495634491919,-5.08670883192508e-12,-1.7397194795876203e-13
short,4,0.045,0.5989692248128199,0.5989692248117704,1.0494938251781605e-12,-1.9062529332813938e-13
short,4,0.05,0.7322037348560562,0.7322037348558466,2.0961010704922955e-13,-1.84297022087776e-14
short,4,0.055,0.8763289802601075,0.876328980261354,-1.2464473897466632e-12,1.0880185641326534e-14
short,4,0.06,1.0304529486557217,1.0304529486672722,-1.1550538303595204e-11,3.9612757518625585e-13
short,4,0.065,1.193621160022382,1.1936211600341615,-1.1779466291272911e-11,6.195044477408373e-14
short,4,0.07,1.3648225069670088,1.3648225069677093,-7.005507285384738e-13,7.105427357601002e-15
short,4,0.075,1.5429954732988405,1.5429954733003852,-1.5447643164634428e-12,1.638689184346731e-13
short,4,0.08,1.7270346974337305,1.7270346974362976,-2.567057677538287e-12,3.419486915845482e-13
short,4,0.085,1.9157978442604373,1.9157978442711596,-1.0722311927224837e-11,1.8323120798413584e-12
short,4,0.09,2.108112746311046,2.1081127463285663,-1.752020750700467e-11,7.414069358446795e-13
short,4,0.095,2.302784772392971,2.3027847724044173,-1.1446399383885364e-11,7.949196856316121e-13
short,4,0.1,2.4986043792303048,2.4986043792329955,-2.6907365224815294e-12,5.88418203051333e-14
short,4,0.105,2.6943547994223445,2.6943547994227135,-3.6903813338540203e-13,2.8177460364986473e-13
short,4,0.11,2.888819816727344,2.88881981671578,1.156363893528578e-11,1.255884285455977e-12
short,4,0.115,3.080791578069094,3.0807915780841912,-1.509725677806273e-11,6.208367153703875e-13
short,4,0.12,3.2690783899612685,3.2690783899782487,-1.6980195027826994e-11,6.064038160502605e-13
short,4,0.125,3.4525124460424945,3.4525124460472,-4.7055692675712635e-12,-7.904787935331115e-14
short,4,0.13,3.6299574316345216,3.629957431629796,4.725553282014516e-12,1.5565326805244695e-13
short,4,0.135,3.80031595092494,3.8003159509081286,1.681144112808397e-11,2.1160850849355484e-13
short,4,0.14,3.9625367227343986,3.9625367227693093,-3.491074096473312e-11,-7.327471962526033e-15
short,4,0.145,4.115621491312815,4.115621491324552,-1.1736389637917455e-11,-1.226796442210798e-13
short,4,0.15,4.258631600076303,4.25863160008336,-7.057465722937195e-12,-1.425526363618701e-13
short,4,0.155,4.390694177705926,4.390694177691927,1.3999468251313374e-11,-2.0872192862952943e-13
short,4,0.16,4.511007888553533,4.511007888555147,-1.6138201885951275e-12,-7.348566199993911e-13
short,4,0.165,4.618848201980291,4.618848202047577,-6.728573254122239e-11,-1.867950238931826e-12
short,4,0.17,4.713572138635565,4.713572138646343,-1.077804512306102e-11,-1.8662849043948881e-13
short,4,0.17500000000000002,4.794622455361768,4.7946224553707575,-8.989253785784967e-12,-1.7774670624248756e-13
short,4,0.18,4.861531235116364,4.861531235109959,6.404654584457603e-12,-4.1322500976548326e-13
short,4,0.185,4.913922852315827,4.9139228523574205,-4.1593395394556865e-11,-1.673106098110111e-12
short,4,0.19,4.951516289790089,4.951516289837333,-4.724398650068906e-11,-2.298827794788849e-12
short,4,0.195,4.97412678827319,4.9741267882851545,-1.1964651491780387e-11,-1.8973711490843925e-13
short,4,0.2,4.981666815400509,4.981666815412476,-1.1967316027039487e-11,-1.900701818158268e-13
short,5,0.0,0.0,0.0,0.0,0.0
short,5,0.005,0.007706665635005912,0.007706665635011274,-5.362030264244311e-15,-9.992007221626409e-16
short,5,0.01,0.03077914645875433,0.030779146458746708,7.62237495344209e-15,-7.771561172376096e-16
short,5,0.015,0.06907517572504565,0.06907517572515946,-1.1381173781188636e-13,-1.0880185641326534e-14
short,5,0.02,0.12235857930733564,0.12235857930875291,-1.4172690798730514e-12,-1.8840484727888906e-13
short,5,0.025,0.19030067713755122,0.19030067713599425,1.5569767697343195e-12,-1.333377852574813e-13
short,5,0.03,0.2724822367167786,0.2724822367167023,7.632783294297951e-14,-4.551914400963142e-15
short,5,0.035,0.3683959701284366,0.3683959701291038,-6.671885266484878e-13,-1.9539925233402755e-14
short,5,0.04,0.47744956344409073,0.47744956345053374,-6.443012789958402e-12,-1.8707257964933888e-13
short,5,0.045,0.5989692248127786,0.5989692248133713,-5.927480728473711e-13,-2.390310172017962e-13
short,5,0.05,0.7322037348560412,0.7322037348551889,8.523182160047327e-13,-7.893685705084863e-14
short,5,0.055,0.8763289802601159,0.8763289802618207,-1.7048584766143904e-12,2.6867397195928788e-14
short,5,0.06,1.0304529486557474,1.0304529486652492,-9.50173273395194e-12,4.030109579389318e-13
short,5,0.065,1.1936211600225741,1.1936211600419684,-1.9394263972571935e-11,4.156675004196586e-13
short,5,0.07,1.3648225069671251,1.364822506971872,-4.746869564087319e-12,-6.838973831690964e-14
short,5,0.075,1.5429954732985174,1.5429954732991953,-6.779021788361206e-13,-8.670841822322473e-14
short,5,0.08,1.7270346974333568,1.72703469743549,-2.1331825195147758e-12,6.417089082333405e-14
short,5,0.085,1.9157978442604238,1.9157978442667098,-6.286082765427636e-12,1.7554846465372975e-12
short,5,0.09,2.108112746311327,2.108112746327702,-1.637490143480136e-11,1.8767210008263646e-12
