steps,t,energy,integrated_work,norm_defect,work_defect
160,1.1125,0.2921182075788764,0.2921184478032907,5.551115123125783e-15,-2.4022441430515684e-07
160,1.125,0.2968490816372744,0.2968493250356485,5.329070518200751e-15,-2.4339837406683884e-07
160,1.1375,0.30155841297562147,0.3015586593473717,5.551115123125783e-15,-2.4637175022323987e-07
160,1.15,0.3062443696351046,0.3062446187725662,5.773159728050814e-15,-2.491374616053754e-07
160,1.1625,0.3109051332388226,0.3109053849277055,5.773159728050814e-15,-2.516888829018349e-07
160,1.175,0.3155388997994156,0.31553915381928455,5.551115123125783e-15,-2.540198689726658e-07
160,1.1875,0.3201438805109569,0.3201441366357341,5.995204332975845e-15,-2.5612477722036786e-07
160,1.2,0.32471830252437317,0.32471856052286324,6.8833827526759706e-15,-2.57998490071909e-07
160,1.2125000000000001,0.32926040970569825,0.32926066934213394,7.327471962526033e-15,-2.59636435684385e-07
160,1.225,0.3337684633764982,0.33376872441110406,6.8833827526759706e-15,-2.6103460587512117e-07
160,1.2375,0.33824074303583834,0.33824100522541245,5.995204332975845e-15,-2.621895741072855e-07
160,1.25,0.3426755470632091,0.3426758101617192,5.10702591327572e-15,-2.6309851014483243e-07
160,1.2625,0.3470711934018571,0.34707145716105225,4.218847493575595e-15,-2.637591951515361e-07
160,1.2750000000000001,0.35142602022202185,0.3514262843920536,4.440892098500626e-15,-2.641700317385087e-07
160,1.2875,0.35573838656359885,0.35573865089366047,4.884981308350689e-15,-2.6433006161674655e-07
160,1.3,0.3600066729578364,0.3600069371968005,5.773159728050814e-15,-2.642389640983289e-07
160,1.3125,0.36422928202764976,0.3642295459247238,5.551115123125783e-15,-2.6389707402652007e-07
160,1.325,0.3684046390662651,0.368404902371641,4.6629367034256575e-15,-2.633053758915871e-07
160,1.3375000000000001,0.3725311925938696,0.37253145505938184,4.6629367034256575e-15,-2.624655122684949e-07
160,1.35,0.37660741489204874,0.37660767627183594,5.551115123125783e-15,-2.613797872030865e-07
160,1.3625,0.3806318025158234,0.3806320625669843,6.661338147750939e-15,-2.600511608830125e-07
160,1.375,0.3846028767831286,0.38460313526637807,7.105427357601002e-15,-2.584832494711975e-07
160,1.3875,0.3885191842416481,0.3885194409219684,7.105427357601002e-15,-2.566803202763701e-07
160,1.4000000000000001,0.3923792971129563,0.3923795517602393,7.105427357601002e-15,-2.54647282982301e-07
160,1.4125,0.3961818137139609,0.39618206610364326,7.549516567451064e-15,-2.5238968237584203e-07
160,1.425,0.399925358855698,0.39992560876938615,7.993605777301127e-15,-2.499136881328745e-07
160,1.4375,0.40360858421957346,0.4036088314456566,8.43769498715119e-15,-2.472260831609674e-07
160,1.45,0.4072301687111968,0.4072304130454399,8.659739592076221e-15,-2.443342430602513e-07
160,1.4625000000000001,0.410788818791976,0.41078906003810367,8.43769498715119e-15,-2.412461276857236e-07
160,1.475,0.41428326878872884,0.41428350675898784,9.103828801926284e-15,-2.3797025899829904e-07
