scenario,t,a,x,F,phi,y,f,f_phi,S,C,D,Z,Wtilde,Wpump,Wdefect,energy_mismatch,defect_residual,max_r2_error
wrong,2.2,-0.05095945990018465,0.09391217980411988,0.09383384456972806,-0.25417245804497063,-0.35951205912546447,1.0006460363842862,-0.005083449160899414,0.012110191582349066,0.09245612305045313,-5.7741950917451906e-05,0.9979763800276381,0.10943817067782524,0.004434701985415164,3.4686924093253155e-06,3.4686924093602772e-06,3.4961708414394874e-17,1.3322676295501878e-15
wrong,2.25,-0.05577033999953036,0.09850472792005195,0.09169222461822048,-0.27174168874661314,-0.3430741795181776,1.0007384354540285,-0.005434833774932264,0.012555360076016412,0.09245670063832465,-6.227852422834117e-05,0.9980687261318582,0.10988543802590668,0.004881113620258598,4.324405647111085e-06,4.324405647365519e-06,2.5443345076214124e-16,1.2212453270876722e-15
wrong,2.3000000000000003,-0.06080791939964239,0.10297651137999675,0.08910879477474883,-0.28846201375009906,-0.325564676683318,1.0008321033337677,-0.005769240275001982,0.01294024072075441,0.09245735097679884,-6.677385624695991e-05,0.9981623343747549,0.1103419220676377,0.0053366466427708405,5.275424866220838e-06,5.275424866137829e-06,-8.300922883092143e-17,1.3322676295501878e-15
wrong,2.35,-0.06606562251379564,0.10730621687370008,0.08610431822953582,-0.30428120618694926,-0.30703826602774853,1.0009258705243858,-0.0060856241237389865,0.013257528861242363,0.09245807650645418,-7.116736011502668e-05,0.9982560350334061,0.11080369342658737,0.005797381073029508,6.312353557288495e-06,6.312353557145871e-06,-1.4262425469162635e-16,1.3322676295501878e-15
wrong,2.4000000000000004,-0.07153583686651563,0.11147371528462843,0.0827035875169558,-0.31914985505898114,-0.28755283755375827,1.0010185662998417,-0.006382997101179624,0.013500355729139329,0.09245887855775708,-7.539387965590908e-05,0.9983486572597655,0.11126662598215596,0.006259204116726427,7.421865428821544e-06,7.421865428816794e-06,-4.749313735254862e-18,1.3322676295501878e-15
wrong,2.45,-0.0772099773041311,0.11546026237461328,0.07893552856217793,-0.33302151947683484,-0.2671692746119037,1.0011090333243466,-0.006660430389536698,0.013662492315562302,0.09245975718196817,-7.938469340158433e-05,0.9984390437133436,0.11172647610110158,0.006717889261125254,8.586839975571548e-06,8.586839975605227e-06,3.367972404872549e-17,1.3322676295501878e-15
wrong,2.5,-0.08307856033676723,0.11924870333884786,0.07483330059115333,-0.3458528736014566,-0.2459512633657315,1.0011961421017839,-0.0069170574720291336,0.013738543466953503,0.09246071100505725,-8.306875146339468e-05,0.9985260650240237,0.11217896839320028,0.007169181719019065,9.786674180733573e-06,9.786674180499097e-06,-2.344756604589354e-16,1.3322676295501878e-15
wrong,2.5500000000000003,-0.08913128879916342,0.12282368091161823,0.07043438075920835,-0.3576038418392564,-0.22396509357781016,1.0012788050769819,-0.00715207683678513,0.013724110913362151,0.09246173711350802,-8.637412255683944e-05,0.9986086339038076,0.11261988636342486,0.0076088885993624575,1.0997764062070701e-05,1.0997764061686753e-05,-3.839481765291128e-16,1.3322676295501878e-15
wrong,2.6,-0.09535714698905803,0.12617184616464103,0.06578061907696181,-0.36823772387276327,-0.20127945135118971,1.00135599021283,-0.0073647544774552666,0.013615909684818996,0.09246283098029928,-8.922961386964694e-05,0.998685718730718,0.11304516608185934,0.00803297194188073,1.2194139977616004e-05,1.2194139977893953e-05,2.7794877944381513e-16,1.3322676295501878e-15
wrong,2.6500000000000004,-0.10174450638108404,0.12928207038369754,0.06091824518763471,-0.3777213091408685,-0.17796520448252107,1.001426733873791,-0.007554426182817371,0.013411830955379334,0.09246398643813386,-9.156651230815866e-05,0.9987563564347665,0.11345099074252228,0.008437642512152057,1.3348230369858774e-05,1.334823036950629e-05,-3.5248429067040454e-16,1.3322676295501878e-15
wrong,2.7,-0.10828124190903121,0.13214565538600762,0.055897803680745636,-0.38602498041605704,-0.15409518110260217,1.0014901528550522,-0.007720499608321142,0.013110953959352061,0.09246519570513653,-9.332038315889222e-05,0.9988196645247477,0.11383388373819313,0.008819452017627358,1.443172056516595e-05,1.4431720565052583e-05,-1.1336688966051556e-16,1.3322676295501878e-15
wrong,2.75,-0.11495485864546762,0.1347565383060012,0.05077398885814304,-0.3931228061602523,-0.12974394229710304,1.0015454554072332,-0.007862456123205047,0.012713518256991763,0.09246644946582912,-9.443285260783582e-05,0.9988748521055224,0.11419079764661579,0.009175381179682118,1.5416466933037197e-05,1.5416466932949638e-05,-8.755948982357153e-17,1.3322676295501878e-15
wrong,2.8000000000000003,-0.12175262846853281,0.13711148519419714,0.045605343229501036,-0.39899262137590985,-0.10498754941476686,1.0015919511191242,-0.007979852427518199,0.012220873525037864,0.09246773700732092,-9.485329502268374e-05,0.9989212297482661,0.11451919631252694,0.009502920889882936,1.627542264322668e-05,1.6275422643284576e-05,5.789639601072594e-17,1.3322676295501878e-15
wrong,2.85,-0.12866173597313962,0.1392102657180264,0.04045377669535045,-0.4036160967046744,-0.07990332678255864,1.001629059535191,-0.00807232193409349,0.011635426056052,0.09246904640751363,-9.454034537775412e-05,0.9989582180907158,0.11481712702992249,0.009800143500105187,1.698352981665334e-05,1.698352981658116e-05,-7.217737150143344e-17,1.3322676295501878e-15
wrong,2.9000000000000004,-0.1356694324389571,0.14105579881910446,0.03538385584194374,-0.4069787955621472,-0.05456962055720127,1.001656317400372,-0.008139575911242945,0.010960598918809464,0.09247036476892928,-9.346316229654085e-05,0.9989853550605243,0.11508327969246672,0.010065761158189123,1.751853427689242e-05,1.7518534276879036e-05,-1.3383120566617945e-17,1.3322676295501878e-15
wrong,2.95,-0.14276319609198485,0.14265425639649953,0.030461805943638724,-0.409070219133987,-0.029065554450462407,1.0016733844418233,-0.008181404382679742,0.01020081676320558,0.09247167848879634,-9.160237806544441e-05,0.9990023016322388,0.11531702970188554,0.010299168018461731,1.786168342289463e-05,1.786168342308818e-05,1.9355041657939664e-16,1.3322676295501878e-15
wrong,3.0,-0.14993089617458938,0.1440151090363643,0.025754163782083127,-0.4098838390955969,-0.003470783071603989,1.0016800476155174,-0.008197676781911939,0.009361517810716416,0.09247297355353154,-8.895068828976776e-05,0.9990088460468949,0.11551846142326355,0.01050046314845136,1.7998274811527266e-05,1.7998274811473897e-05,-5.3369851940598956e-17,1.3322676295501878e-15
wrong,3.0500000000000003,-0.1571609574614693,0.145151094681724,0.021326019970199145,-0.40941711795493535,0.022134756365181897,1.0016762237647452,-0.008188342359098709,0.008449186389624665,0.09247423584399794,-8.551305472178259e-05,0.9990049064425255,0.11568836907678748,0.010670451044284218,1.7918032502701943e-05,1.791803250254277e-05,-1.591710433162391e-16,1.3322676295501878e-15
wrong,3.1,-0.16444252083023367,0.14607808828425017,0.017238799402019528,-0.40767151695546,0.047671093217570445,1.0016619606573676,-0.008153430339109202,0.007471391298030486,0.09247545143710774,-8.130651879455237e-05,0.9989905318637562,0.11582823219241731,0.010810616892901326,1.7615299515599842e-05,1.7615299515263624e-05,-3.3621786995133296e-16,1.3322676295501878e-15
wrong,3.1500000000000004,-0.17176559434277677,0.14681484851227242,0.013547554141411566,-0.4046524915138012,0.07305847272361618,1.0016374363888834,-0.008093049830276026,0.006436809924397282,0.09247660688961852,-7.635964871473717e-05,0.9989659016388476,0.11594016318039073,0.010923074133274126,1.7089047116029247e-05,1.7089047115885492e-05,-1.4375504367621084e-16,1.3322676295501878e-15
wrong,3.2,-0.1791211880844755,0.14738261749402173,0.010297793486206514,-0.4003694742044101,0.09821760468871864,1.0016029571587473,-0.008007389484088204,0.005355216496721238,0.0924776894914104,-7.071166747035895e-05,0.9989313231327881,0.11602682527087438,0.011010482556689627,1.6342714184112986e-05,1.634271418403388e-05,-7.910610100997362e-17,1.3322676295501878e-15
wrong,3.25,-0.1865014248711499,0.1478045528521476,0.007521962566825259,-0.39483584534108834,0.12306991079786118,1.001558953447662,-0.007896716906821769,0.004237415411981655,0.09247868747808179,-6.441133049849086e-05,0.9988872279050908,0.11609132018468842,0.01107593628312981,1.538390155823633e-05,1.538390155788813e-05,-3.482016920890868e-16,1.3322676295501878e-15
wrong,3.3000000000000003,-0.19389961808747902,0.14810498004641343,0.005235816079260926,-0.38806889124295463,0.14753776980059488,1.0015059746435053,-0.007761377824859094,0.0030951069494087554,0.09247959019622584,-5.75156377261881e-05,0.9988341663205637,0.1161370466175522,0.01112282266164799,1.4223955903433837e-05,1.4223955903489016e-05,5.517911431593414e-17,1.5543122344752192e-15
wrong,3.35,-0.20131030770431768,0.14830846995840694,0.0034351261265135177,-0.3800897503100007,0.17154475981733563,1.0014446821829073,-0.007601795006200015,0.001940681844121552,0.09248038821898846,-5.008847308174302e-05,0.9987728006802912,0.11616753323487886,0.011154655750692802,1.287748418565768e-05,1.2877484185335603e-05,-3.2207750192986967e-16,1.5543122344752192e-15
wrong,3.4000000000000004,-0.20872924641501328,0.1484387745181863,0.002093405975211578,-0.3709233470709286,0.19501589701691383,1.001375841294023,-0.007418466941418574,0.0007869519012624422,0.09248107341408507,-4.219926351425246e-05,0.9987038969581691,0.11618625370869437,0.01117489186650638,1.1361842187198876e-05,1.1361842187272708e-05,7.383247388036834e-17,1.5543122344752192e-15
wrong,3.45,-0.2161533304302843,0.14851769364751333,0.001161581089277276,-0.3605983144034261,0.21787786991696192,1.001300311443506,-0.007211966288068523,-0.00035316527135966413,0.09248163897086917,-3.392173775797016e-05,0.9986283152453953,0.11619643660985204,0.011186739972058787,9.69663779268884e-06,9.696637792539278e-06,-1.4956230156258632e-16,1.5543122344752192e-15
wrong,3.5,-0.22358047437804685,0.1485639977248601,0.0005706795157921796,-0.3491469041644016,0.24005926856097334,1.0012190356068758,-0.006982938083288033,-0.0014669794784288777,0.09248207939667735,-2.5332842217441425e-05,0.9985469990211737,0.1162008894733024,0.011192986191790138,7.903281511751685e-06,7.90328151154332e-06,-2.0836502282687436e-16,1.5543122344752192e-15
wrong,3.5500000000000003,-0.2310094372745782,0.14859258060629285,0.0002384203934098179,-0.33660488650492937,0.26149080782960193,1.00113302849619,-0.006732097730098589,-0.002542343609476885,0.09248239049479524,-1.6511838805311036e-05,0.9984609633824058,0.11620186274441247,0.011195858141288121,6.004603123217227e-06,6.0046031236261205e-06,4.0889329682575193e-16,1.5543122344752192e-15
wrong,3.6,-0.23843961611397063,0.1486140443023485,7.972425079747743e-05,-0.32301143818161165,0.2821055441510573,1.0010433638919616,-0.006460228763632234,-0.0035679127422219544,0.09248256933629621,-7.539571482861376e-06,0.9983712823781905,0.1162009822523189,0.01119695771636248,4.024535955490312e-06,4.024535955698266e-06,2.0795421184745602e-16,1.7763568394002505e-15
wrong,3.6500000000000004,-0.24587083306616747,0.14863487713991083,1.9399030432183674e-05,-0.3084090202125043,0.3018390848897104,1.0009511612374844,-0.006168180404250088,-0.004533311016938761,0.0924826142352701,1.5021474480060416e-06,0.9982790756064219,0.11619927260840465,0.011197284755799716,1.987852603816173e-06,1.9878526042182987e-06,4.0212550357719007e-16,1.5543122344752192e-15
