mask,face_count,odd_edge_count,moment_exact
904,4,10,0
905,5,8,0
906,5,10,0
907,6,8,0
908,5,12,0
909,6,10,0
910,6,12,0
911,7,10,0
912,4,10,0
913,5,8,0
914,5,10,0
915,6,8,0
916,5,12,0
917,6,10,0
918,6,12,0
919,7,10,0
920,5,10,0
921,6,6,0
922,6,8,0
923,7,4,0
924,6,12,0
925,7,8,0
926,7,10,0
927,8,6,0
928,4,12,0
929,5,12,0
930,5,12,0
931,6,12,0
932,5,12,0
933,6,12,0
934,6,12,0
935,7,12,0
936,5,10,0
937,6,8,0
938,6,12,0
939,7,10,0
940,6,10,0
941,7,8,0
942,7,12,0
943,8,10,0
944,5,12,0
945,6,10,0
946,6,10,0
947,7,8,0
948,6,12,0
949,7,10,0
950,7,10,0
951,8,8,0
952,6,10,0
953,7,6,0
954,7,10,0
955,8,6,0
956,7,10,0
957,8,6,0
958,8,10,0
959,9,6,0
960,4,12,0
961,5,12,0
962,5,12,0
963,6,12,0
964,5,12,0
965,6,12,0
966,6,12,0
967,7,12,0
968,5,12,0
969,6,10,0
970,6,10,0
971,7,8,0
972,6,12,0
973,7,10,0
974,7,10,0
975,8,8,0
976,5,10,0
977,6,8,0
978,6,12,0
979,7,10,0
980,6,10,0
981,7,8,0
982,7,12,0
983,8,10,0
984,6,10,0
985,7,6,0
986,7,10,0
987,8,6,0
988,7,10,0
989,8,6,0
990,8,10,0
991,9,6,0
992,5,14,0
993,6,14,0
994,6,12,0
995,7,12,0
996,6,12,0
997,7,12,0
998,7,10,0
999,8,10,0
1000,6,12,0
1001,7,10,0
1002,7,12,0
1003,8,10,0
1004,7,10,0
1005,8,8,0
1006,8,10,0
1007,9,8,0
1008,6,12,0
1009,7,10,0
1010,7,12,0
1011,8,10,0
1012,7,10,0
1013,8,8,0
1014,8,10,0
1015,9,8,0
1016,7,10,0
1017,8,6,0
1018,8,12,0
1019,9,8,0
1020,8,8,0
1021,9,4,0
1022,9,10,0
1023,10,6,0
1024,1,4,0
1025,2,8,0
1026,2,6,0
1027,3,10,0
1028,2,6,0
1029,3,10,0
1030,3,8,0
1031,4,12,0
1032,2,8,0
1033,3,10,0
1034,3,8,0
1035,4,10,0
1036,3,10,0
1037,4,12,0
1038,4,10,0
1039,5,12,0
1040,2,8,0
1041,3,10,0
1042,3,8,0
1043,4,10,0
1044,3,10,0
1045,4,12,0
1046,4,10,0
1047,5,12,0
1048,3,12,0
1049,4,12,0
1050,4,10,0
1051,5,10,0
1052,4,14,0
1053,5,14,0
1054,5,12,0
1055,6,12,0
1056,2,6,0
1057,3,10,0
1058,3,6,0
1059,4,10,0
1060,3,6,0
1061,4,10,0
1062,4,6,0
1063,5,10,0
1064,3,8,0
1065,4,10,0
1066,4,10,0
1067,5,12,0
1068,4,8,0
1069,5,10,0
1070,5,10,0
1071,6,12,0
1072,3,10,0
1073,4,12,0
1074,4,8,0
1075,5,10,0
1076,4,10,0
1077,5,12,0
1078,5,8,0
1079,6,10,0
1080,4,12,0
1081,5,12,0
1082,5,12,0
1083,6,12,0
