kappa,mean_bessel,mean_quad,mean_ode_reflected,susceptibility_quad,mean_zero_variance_root,mean_wrong_coefficient_reflected,ode_bessel_difference
-2.0999999999999996,-0.4490990804741393,-0.4490990804741391,-0.44909908047413694,0.15673990095422657,-0.5146178952918038,-0.5542572587995276,2.3869795029440866e-15
-2.0749999999999997,-0.44516205870740844,-0.44516205870740855,-0.4451620587074081,0.15822294576582732,-0.5110339649470758,-0.5501061167257378,3.3306690738754696e-16
-2.05,-0.44118787930207287,-0.4411878793020729,-0.4411878793020739,0.15971245617829613,-0.5074034922810281,-0.5458990367952267,1.0547118733938987e-15
-2.025,-0.4371763848646223,-0.437176384864622,-0.4371763848646202,0.16120809019874108,-0.5037257493638105,-0.5416354313458737,2.1094237467877974e-15
-1.9999999999999998,-0.4331274267223117,-0.43312742672231175,-0.43312742672231164,0.1627094921374408,-0.49999999999999994,-0.5373147207275468,5.551115123125783e-17
-1.9749999999999996,-0.42904086526712387,-0.42904086526712365,-0.42904086526712304,0.1642162924871054,-0.49622549999410415,-0.5329363341188748,8.326672684688674e-16
-1.9499999999999997,-0.42491657030256275,-0.42491657030256275,-0.42491657030256125,0.16572810781682626,-0.49240149745051726,-0.5284997103698299,1.4988010832439613e-15
-1.9249999999999998,-0.42075442139291,-0.42075442139290997,-0.42075442139291197,0.16724454068157463,-0.48852723311031426,-0.5240042988697992,1.942890293094024e-15
-1.8999999999999997,-0.4165543082145393,-0.41655430821453926,-0.4165543082145364,0.16876517954810774,-0.4846019407273899,-0.5194495604405036,2.942091015256665e-15
-1.8749999999999998,-0.41231613090886804,-0.412316130908868,-0.41231613090886715,0.17028959873815214,-0.4806248474865697,-0.5148349682537187,8.881784197001252e-16
-1.8499999999999999,-0.4080398004365063,-0.4080398004365062,-0.40803980043651183,0.1718173583897261,-0.47659517446643823,-0.5101600087731548,5.551115123125783e-15
-1.8249999999999997,-0.40372523893213436,-0.4037252389321344,-0.40372523893212975,0.17334800443746304,-0.4725121371497544,-0.5054241827195904,4.6074255521944e-15
-1.7999999999999998,-0.39937238005962966,-0.3993723800596295,-0.3993723800596288,0.17488106861279087,-0.46837494598444235,-0.5006270060589572,8.881784197001252e-16
-1.7749999999999997,-0.3949811693669273,-0.39498116936692723,-0.39498116936693556,0.1764160684648125,-0.4641828069982661,-0.4957680110123797,8.271161533457416e-15
-1.7499999999999998,-0.3905515646400957,-0.39055156464009594,-0.3905515646400908,0.17795250740272264,-0.4599349224704124,-0.49084674708703185,4.9404924595819466e-15
-1.7249999999999999,-0.3860835362560721,-0.3860835362560722,-0.3860835362560712,0.17948987476057632,-0.45563049166331915,-0.4858627821271193,8.881784197001252e-16
-1.6999999999999997,-0.381577067533489,-0.38157706753348886,-0.38157706753349574,0.1810276458852099,-0.45126871161819215,-0.48081570338364304,6.716849298982197e-15
-1.6749999999999998,-0.3770321550810094,-0.37703215508100907,-0.37703215508100535,0.1825652822480879,-0.4468487780177551,-0.47570511860159426,4.052314039881821e-15
-1.6499999999999997,-0.3724488091425548,-0.37244880914255507,-0.37244880914255457,0.18410223158182865,-0.4423698861198641,-0.47053065712336034,2.220446049250313e-16
-1.6249999999999998,-0.36782705393880977,-0.3678270539388097,-0.36782705393881043,0.18563792804212412,-0.43783123176570243,-0.46529197100671654,6.661338147750939e-16
-1.5999999999999999,-0.36316692800434425,-0.36316692800434414,-0.3631669280043427,0.18717179239574222,-0.4332320124663318,-0.4599887361557769,1.5543122344752192e-15
-1.5749999999999997,-0.35846848451971347,-0.35846848451971364,-0.3584684845197178,0.1887032322352567,-0.4285714285714285,-0.45462065346310643,4.3298697960381105e-15
