kind,M,duration,residual_budget,other
triangle_feasibility,0.0019061587032871753,2.100077001342034,2.7323712995940737,True
triangle_feasibility,0.0019681693542151248,2.1035011631465212,2.646283116937534,True
triangle_feasibility,0.0020321973192428274,2.1070484555732683,2.5629072944914113,True
triangle_feasibility,0.002098308225099178,2.1107237237620464,2.48215837455775,True
triangle_feasibility,0.002166569833464464,2.11453203285706,2.4039535919342714,True
triangle_feasibility,0.0022370521104240386,2.118478680052494,2.32821278908254,True
triangle_feasibility,0.0023098272981814426,2.1225692074406437,2.2548583339689174,True
triangle_feasibility,0.002384969989104486,2.126809415726302,2.183815040494061,True
triangle_feasibility,0.002462557202180161,2.131205378876964,2.1150100914294585,False
triangle_feasibility,0.00254266846195678,2.135763459784867,2.0483729637819628,False
triangle_feasibility,0.002625385880054235,2.1404903270240396,1.9838353565098554,False
triangle_feasibility,0.0027107942393259257,2.1453929727934717,1.9213311205163448,False
triangle_feasibility,0.002798981080758617,2.1504787321462806,1.8607961908487434,False
triangle_feasibility,0.0028900367931993186,2.1557553036145127,1.8021685210338179,False
triangle_feasibility,0.0029840547060011016,2.161230771350037,1.745388019482043,False
triangle_feasibility,0.003081131184682878,2.1669136289140343,1.6903964878955309,False
triangle_feasibility,0.003181365729701139,2.172812804861016,1.6371375616165353,False
triangle_feasibility,0.003284861078434921,2.1789376902782474,1.5855566518553823,False
triangle_feasibility,0.0033917233104885027,2.1852981684581865,1.5356008897386113,False
triangle_feasibility,0.0035020619564198143,2.1919046469002272,1.487219072119973,False
triangle_feasibility,0.0036159901100059244,2.1987680918589656,1.4403616090987594,False
triangle_feasibility,0.0037336245441607564,2.2059000656796877,1.3949804731916506,False
