epsilon,beta,gamma,L,state_term,dynamic_term,envelope
0.03630780547701014,0,2,1,0.00465517012780081043105783656964149944228833818780243778670522283554115,0.03375375680239903068035118678409103709530569643136246582677323858690377,0.03840892693019984111140902335373253653759403461916490361347846142244492
0.039810717055349734,0,2,1,0.005359159362891303783868995084519280746537908419181160595633985244027971,0.03674947679088790731481370497503440379133889573519916480348152827515409,0.04210863615377921109868270005955368453787680415438032539911551351918206
0.04365158322401661,0,2,1,0.006171234689097148798183101627277275482013682705839398693586099993858973,0.03998351717378721087969552928696460321373032873081357715959798350883337,0.04615475186288435967787863091424187869574401143665297585318408350269234
0.04786300923226385,0,2,1,0.007108422639938640089381414366506675149854058720760305029759476134575275,0.04346925295368187905561259378879172055324868065122002181529507394825386,0.05057767559362051914499400815529839570310273937198032684505455008282913
0.052480746024977286,0,2,1,0.008190547577902813991112332213479983863869552415430142512052285161648238,0.04721960100976508558138868881984249509324328237357160343721720196721645,0.05541014858766789957250102103332247895711283478900174594926948712886469
0.05754399373371572,0,2,1,0.009440722726291198353095192310008574108081897561380209254173023150925106,0.05124668221290444674819546654065672653189290190416212623965550552449321,0.06068740493919564510129065885066530063997479946554233549382852867541831
0.06309573444801936,0,2,1,0.01088593593618411112208982825068132847897569925306925387060571210525298,0.05556140946352012501185118308448757510100177862489633947531932126543219,0.06644734539970423613394101133516890357997747787796559334592503337068517
0.06918309709189363,0,2,1,0.01255775084442200335673131016046408503836622905345980026023957103954318,0.06017299131228870161471819907557519818051211663421626749220599747119231,0.07273074215671070497144950923603928321887834568767606775244556851073549
0.07585775750291836,0,2,1,0.01449314926421524969443562772726696016987158893512498899856737399075896,0.06508834061428826083970979630917486994957194827734727204096077035782335,0.07958148987850351053414542403644183011944353721247226103952814434858231
0.08317637711026708,0,2,1,0.01673554734531144792452043689362534002412740149191794225428035378007304,0.07031137795926737501813716737198513479025364881970777864610465888101822,0.08704692530457882294265760426561047481438105031162572090038501266109125
0.09120108393559097,0,2,1,0.01933602675475022487498353034073269257064336646965508741728455999972136,0.07584222064370030283904425585550935636856232124983010411636667326446643,0.09517824739845052771402778619624204893920568771948519153365123326418778
0.1,0,2,1,0.02235483356918694430907599554050109658759971494885372002747786427397224,0.08167625,0.1040310835691869443090759955405010965875997149488537200274778642739722
0.000009999999999999999,1/2,1,316,0.00000002070212204594611740852102992778273311636153449691879769167185129110322,0.003120816517914321607323433585928228126274692447980438934353787364140491,0.003120837220036367553440842106958155909007808809514935853151479035991782
0.00001096478196143185,1/2,1,301,0.00000002376923359889264663295104835513550691772543577751330147608214248358104,0.003241111958519678781319862978295156428328270510160338070654678961225422,0.003241135727753277673966495929343511563835188235596115583956155043367906
0.00001202264434617413,1/2,1,288,0.00000002729075328927116957209951571505931770601177488062678043466750349400679,0.003411353149331993265169274029894737205245879249271046523516441213371697,0.003411380440085282536338846129410452264563585261045927150296875880875191
0.000013182567385564074,1/2,1,275,0.00000003133400448136960878512544275879905152435360407698493982146225751325981,0.003568627375023315218234325777917322181005885948432137760128813074007704,0.003568658709027796587843110903360080980057410302036214745068634536265217
0.00001445439770745928,1/2,1,263,0.00000003597628503827449321454791935278562488552456367108851224910429059561867,0.003750625525957355028772904116348049426589655509612266668240413762765205,0.0037506615022423933032661186642674022122145410341759377567526628670558
0.00001584893192461114,1/2,1,251,0.00000004130634515729887194741758626432240512940432473795235282959038087267109,0.003917334418998852880027825763889169651783541155050044143138976035439479,0.003917375725344010178899773181475433974188670559374782095491805625820352
0.000017378008287493764,1/2,1,239,0.00000004742608417209849902937253781666344439929069027679259402919900045709774,0.004063481752638317817159392657764343494901465860972141826356064364817473,0.00406352917872248991565842203030216015834586515166241861895009356381793
0.000019054607179632484,1/2,1,229,0.00000005445249876736729358396478958964916626253328637308175723391856714097051,0.004294309787804226088692694960165542461341064241576724144890221127574106,0.004294364240302993455986278924955132110507326774863097226647455046141247
0.00002089296130854041,1/2,1,218,0.00000006251991986032187856974314887347279515848196019072511710934053150428015,0.004451103276813107232660696616951081279214924907193971669317830052415676,0.004451165796732967554539266360099954752010083389154162394434939392947181
0.000022908676527677746,1/2,1,208,0.00000007178258092422028649608770372053972203139944465621268194117871572966465,0.004644837456414722589604789781697802221460023541394606881832856118183812,0.004644909238995646809891285869401522761182054940839263094514797296899542
0.000025118864315095822,1/2,1,199,0.00000008241756686859516791535411278446125439871988384078810422369475867215355,0.004886376033454607396335935694647744347555271499856975491937914543250562,0.004886458451021475991503851048760528808809670219740816280042138238009234
0.00002754228703338169,1/2,1,190,0.00000009462819987007717115491320428533303268037602315776800208399975758762828,0.00510898549027192651882595489316064755574035163704666280024799491483528,0.005109080118471796595997109806364932888773032013069820568250078914592867
0.000030199517204020192,1/2,1,181,0.0000001086479269060134183437283406437147694291855097610787520422344263966599,0.005305886651803536551965185196184052686198021955903503787444953149388372,0.005305995299730442565383528924524696400967451141413264866196995383814769
0.000033113112148259076,1/2,1,173,0.0000001247447833406032683201529720090987627136946942366416380938928846358913,0.005564992814396953535379622401701610074292380940392073327220979675998459,0.005565117559180294138647942554673619173055094635086309968859073568883095
0.000036307805477010174,1/2,1,165,0.0000001432265179338017816318750208370899654834767004896924248670617783727344,0.005799396169787955070764191587895690809130787663779472711317056646002186,0.005799539396305888872545823462916527899096271140479962403741923707780559
0.000039810717055349695,1/2,1,158,0.0000001644464772978690865004762981281926093832147784247235243141519011480997,0.006115766647205272475293644200343683843077879036533369344290549355608959,0.006115931093682570344380144676641812035687262251311794067814863507510107
0.000043651583224016566,1/2,1,151,0.0000001888103623576807811432397894846624348101638584315970962064987609170468,0.006411452914054092537083577651241822824287908914049628596900984656725467,0.006411641724416450217864720891031307486722719077908060193997191155486384
0.000047863009232263804,1/2,1,144,0.0000002167839860571355288290598408170536341615172626674582330033733144619047,0.006678208770725497429908736371410821578189082476999645833354905573220846,0.006678425554711554565437565431251638631823243994262313291587908946535308
0.00005248074602497723,1/2,1,138,0.0000002489021807151814217125490066396207984285495321825975627501252215366393,0.007058013888396467451744286776106794923968675847067537060346296825008504,0.007058262790577182633165999325113434544767104396599719657909046950230041
0.000057543993733715664,1/2,1,131,0.0000002857790254383758447226180797208401109396420214381887450054192148234275,0.007251272876095327050219614301941607225450498618913967423730302058799326,0.00725155865512076542606433692002132806556143826093540561247530747801415
0.00006309573444801929,1/2,1,125,0.0000003281195892645880368402297240394451790556525574979921248463971743943369,0.007564948449647491461247853890191102661477144876064327422511630356630291,0.007565276569236756049284694119915142106656200528621825414636476753804686
0.00006918309709189363,1/2,1,120,0.0000003767334147291434362145470151477583485003657644044651627365010014345088,0.008035174499847433751269748153930737488965470657945101482188606575513981,0.008035551233262162894705962700945885247313971023709505947351343076515416
0.00007585775750291836,1/2,1,114,0.0000004325499998672669482563387841884315364236061806967150560316342109213258,0.008272694692236604451207370908858050268917706924719232949744152983394798,0.008273127242236471718155627247642238700454130530899929664800184617605719
0.00008317637711026709,1/2,1,109,0.0000004966365749348404322678533864094272977036950240399213513949992810945229,0.008681272812828924694487354578122077669402775089687746367512830578757462,0.008681769449403859534919622431508487096700478784711786288864225578038556
0.00009120108393559096,1/2,1,104,0.0000005702185140782021257079980631226654612490780528149033621856822604657988,0.009052647423539316284025364663863847614812904176355976767599749966742312,0.009053217642053394486151072661926970280274153254408791670961935649002778
0.0001,1/2,1,99,0.0000006547027726574515631965889789736679029008144705922678843902259575428107,0.009374733319054341582274076009204274371517214628465442118827581301855424,0.009375388021826999033837272598183248039420115442936034386711971527812967
0.00010964781961431851,1/2,1,95,0.0000007517047988967493871646259550555695825001859678604898759169013941385684,0.009941436707452791066217602464621122542110208200112430039504556115105745,0.009942188412251687815604767090576178111692708386080290529380473016499883
0.00012022644346174131,1/2,1,91,0.0000008630794351144154620497155451217572871201805132578545287511391744831129,0.01048617098309865668807215985308401398697604539995877056443700358580918,0.01048703406253377110353420956862913574426316558047202841896575472498366
0.00013182567385564074,1/2,1,87,0.0000009909564002565387578418475956119765950706281830465672486304239351732714,0.01099662717000409205169960851736779337680863559181861592873192330229876,0.01099761812640434859045745036496340535340370622000166249598055372623393
0.0001445439770745928,1/2,1,83,0.000001137781033292981142939403586987098721647882305172850573218507450325783,0.01145897554450503690605468844892305278156093642849534718876378690122033,0.01146011332553832988719762785251003988028258431080052003933700540867065
0.00015848931924611142,1/2,1,79,0.000001306361077926740253442684423497010720572782540674156265981367905409325,0.01185798286037203248529652673704062647803042723751120393972089917274439,0.0118592892214499592255499694214641234887510000200518780959868805406498
0.00017378008287493763,1/2,1,75,0.000001499920404962433653717815102855047284567134158963944688736034135393986,0.01217723024730871397618899619221648960466687342078905655596801133239364,0.01217873016771367640984271400731934465195144055494802050065674736652904
0.00019054607179632481,1/2,1,72,0.000001722160701814177383282590425471765205873295855403999659175538311527513,0.01292222788919667724050798409759356940344862638821215358012017304958153,0.01292395004989849141789126668801904116865449968406755757977934858789306
0.0002089296130854041,1/2,1,69,0.000001977332311579496010426547990121888947012302744510214116041637814195198,0.01364102829491524746459417009478949991319257429276074870060220909579627,0.01364300562722682696060459664277962180213958659550525891471825073361047
