z,single_deficit,sum_real_deficit,sum_imaginary
2.4375e-07,0.000000000000000008420360331632653013956177719563192118650138012257129226524396971537938,0.00000000000000001684072066326530602791235543912638423730027602451425845304879394307588,0.000000002901785714285714253135510621659378174091570058786959292952582422756755
2.5e-07,0.000000000000000008857709750566893371730266495613110603958369724491471390635758686085601,0.0000000000000000177154195011337867434605329912262212079167394489829427812715173721712,0.00000000297619047619047615532654860886153418727472156153010544178803320826102
2.5625e-07,0.000000000000000009306131306689342345892064648936541403992341609360507647661402039829445,0.00000000000000001861226261337868469178412929787308280798468321872101529532280407965889,0.000000003050595238095238057385775439061206669308611451232272577105666952042095
2.625e-07,0.000000000000000009765624999999999936421712239583333540293905470106336401335688100920784,0.00000000000000001953124999999999987284342447916666708058781094021267280267137620184157,0.000000003124999999999999959309895833333333532015482584635416149265236324734159
2.6874999999999997e-07,0.00000000000000001023619083049886385800974331245733332543667636744610756079631152073206,0.00000000000000002047238166099772771601948662491466665087335273489221512159262304146412,0.000000003199404761904761503952757369895724453211958116113751823064414436675768
2.75e-07,0.00000000000000001071782879818594096650266412860810766369123538480186078571849709130668,0.00000000000000002143565759637188193300532825721621532738247076960372157143699418261336,0.00000000327380952380952376273963619839470204677472036325410547066251140183014
2.8125e-07,0.00000000000000001121053890306122440601179670264749744969813106616795342903113130402149,0.00000000000000002242107780612244881202359340529499489939626213233590685806226260804299,0.000000003348214285714285664238665611333819522509700362400188686661198433090465
2.875e-07,0.00000000000000001171432114512471646180443526533306416979721263383033363990875191944813,0.00000000000000002342864229024943292360887053066612833959442526766066727981750383889626,0.000000003422619047619047565589407472645143026283253170911640273641435408804973
2.9375e-07,0.00000000000000001222917552437641713385826803227636660136476187872340316434532778051606,0.00000000000000002445835104875283426771653606455273320272952375744680632869065556103212,0.000000003497023809523809466788566503403610469956843859386993249857383348055374
3e-07,0.00000000000000001275510204081632642215049285020130547294754358775302312092615069357025,0.00000000000000002551020408163265284430098570040261094589508717550604624185230138714049,0.000000003571428571428571367832847424684159765400329227901071648066814834063177
3.0625e-07,0.00000000000000001329210069444444432665781719694412346426406788664281165925896388082396,0.00000000000000002658420138888888865331563439388824692852813577328562331851792776164792,0.000000003645833333333333268718954957561728824492140234906649015838169624177944
3.1249999999999997e-07,0.00000000000000001384017148526076819004353301138555458323069995658555766799047645545668,0.00000000000000002768034297052153638008706602277110916646139991317111533598095291091335,0.000000003720238095238094812300736680254132473650157655806802308625373173606145
3.1874999999999997e-07,0.0000000000000000143993144132653032737629588703208691150958962673721625767628917791142,0.0000000000000000287986288265306065475259177406417382301917925347443251535257835582284,0.00000000379464285714285671286061159955055559448473302822394262029155214789379
3.2499999999999996e-07,0.00000000000000001496952947845804605242285041930004412612241718421658109138790196612267,0.00000000000000002993905895691609210484570083860008825224483436843316218277580393224535,0.000000003869047619047618494204808246049771739773286640762005409708804555243079
3.3125e-07,0.00000000000000001555081668083900210635509651775100851232185191456091083402596744230922,0.00000000000000003110163336167800421271019303550201702464370382912182166805193488461843,0.000000003943452380952380870615745626540960935221571378620528169435017944267337
3.375e-07,0.00000000000000001614317602040816309157136776505883058918761244837424358194522118341237,0.00000000000000003228635204081632618314273553011766117837522489674848716389044236682475,0.000000004017857142857142770661557033527697491044340521219531638341893645963134
3.4375e-07,0.00000000000000001674660749716553269285268566156116883877894018286111721361970838315322,0.00000000000000003349321499433106538570537132312233767755788036572223442723941676630643,0.000000004092261904761904670529423378561081281976294397456491190372045173772927
3.5e-07,0.00000000000000001736111111111111091017232510288065959905418857643651478571052682412066,0.00000000000000003472222222222222182034465020576131919810837715287302957142105364824131,0.000000004166666666666666570216049382716050219960991083676264985320057282934523
3.5625e-07,0.00000000000000001798668686224489774350307061575228115915453246679101390498684694707144,0.00000000000000003597337372448979548700614123150456231830906493358202780997369389414288,0.000000004241071428571428469718139767067542216952022245814928700227537885811023
3.6249999999999997e-07,0.00000000000000001862333475056689011033422316074464628728355955106104936128512424402213,0.00000000000000003724666950113378022066844632148929257456711910212209872257024848804427,0.00000000431547619047619001188954210983337893253426780671799655961863048969517
