case,method,kind,tau,lA,lC,phi,v,hp,hl,E,B,I_wrong
coupled_mixed,DOP853,full,0.625,0.04740549901187917,0.045402996488613,0.15840180929363082,0.007061460189682512,0.07572768932221811,0.0696667747492527,0.07221544973711948,0.05457268943959252,
coupled_mixed,DOP853,full,0.65,0.04929853879459345,0.04714199149639128,0.1585721651552544,0.0065673443684998965,0.07571544413514696,0.06945325456644803,0.07193152382195157,0.05436646353545896,
coupled_mixed,DOP853,full,0.675,0.05119126875712675,0.0488756805127526,0.15873019339154376,0.006075254078689996,0.07570290356705513,0.06924228989582706,0.07164955353827959,0.05416105050317109,
coupled_mixed,DOP853,full,0.7000000000000001,0.05308368150444428,0.05060412701165241,0.158875944933559,0.0055852127059964375,0.07569006677915395,0.06903384769450609,0.07136952241081622,0.053956447815387734,
coupled_mixed,DOP853,full,0.7250000000000001,0.05497576962070159,0.05232739364579801,0.15900947129427104,0.005097243417231176,0.07567693294581092,0.06882789530429385,0.07109141408844659,0.05375265294901363,
coupled_mixed,DOP853,full,0.75,0.056867525669593535,0.054045542256209986,0.1591308245630661,0.004611369158538578,0.0756635012560267,0.06862440044787031,0.0708152123434563,0.05354966338517725,
coupled_mixed,DOP853,full,0.775,0.05875894219473767,0.05575863388169835,0.15924005740020833,0.004127612653707256,0.07564977091487755,0.06842333122502989,0.07054090107075771,0.053347476609205906,
coupled_mixed,DOP853,full,0.8,0.06065001172009364,0.05746672876824457,0.15933722303126016,0.003645996402526847,0.07563574114492337,0.06822465610898887,0.0702684642871144,0.053146090110597864,
coupled_mixed,DOP853,full,0.8250000000000001,0.0625407267504177,0.05916988637829122,0.15942237524146233,0.003166542679189742,0.07562141118758109,0.06802834394275487,0.06999788613036396,0.05294550138299158,
coupled_mixed,DOP853,full,0.8500000000000001,0.06443107977175141,0.06086816539994103,0.15949556837007414,0.002689273530737921,0.0756067803044639,0.0678343639355566,0.06972915085863932,0.052745707924132385,
coupled_mixed,DOP853,full,0.875,0.06632106325194317,0.06256162375606726,0.15955685730467536,0.002214210775555039,0.07559184777868626,0.06764268565933197,0.06946224284958889,0.052546707235836605,
coupled_mixed,DOP853,full,0.9,0.06821066964120204,0.06425031861333752,0.1596062974754315,0.0017413760019038904,0.07557661291613463,0.06745327904527262,0.06919714659959614,0.052348496823953594,
coupled_mixed,DOP853,full,0.925,0.07009989137268229,0.06593430639115272,0.15964394484932293,0.0012707905665094226,0.07556107504670447,0.06726611438042292,0.06893384672299827,0.05215107419832558,
coupled_mixed,DOP853,full,0.9500000000000001,0.07198872086309814,0.06761364277050322,0.15966985592433963,0.0008024755931874033,0.07554523352550316,0.06708116230433145,0.06867232795130478,0.051954436872745764,
coupled_mixed,DOP853,full,0.9750000000000001,0.0738771505133673,0.06928838270274429,0.15968408772364287,0.0003364519715189024,0.07552908773401927,0.06689839380575326,0.06841257513241604,0.051758582364914776,
coupled_mixed,DOP853,full,1.0,0.07576517270928357,0.07095858041828929,0.15968669778969374,-0.00012725964443037146,0.0755126370812581,0.06671778021940131,0.06815457322984185,0.05156350819639537,
coupled_mixed,DOP853,full,1.0250000000000001,0.07765277982222561,0.07262428943519875,0.15967774417834546,-0.0005886388373541605,0.07549588100484315,0.06653929322275091,0.0678983073219186,0.05136921189256409,
coupled_mixed,DOP853,full,1.05,0.07953996420988095,0.0742855625677231,0.15965728545291238,-0.0010476654278931863,0.07547881897208522,0.06636290483288396,0.06764376260102925,0.051175690982563776,
coupled_mixed,DOP853,full,1.075,0.08142671821700181,0.07594245193475321,0.15962538067820625,-0.0015043194757831282,0.07546145048101763,0.06618858740338024,0.06739092437282304,0.0509829429992539,
coupled_mixed,DOP853,full,1.1,0.0833130341761856,0.0775950089681939,0.15958208941454538,-0.001958581280957867,0.07544377506139882,0.06601631362125275,0.06713977805543589,0.05079096547915982,
coupled_mixed,DOP853,full,1.125,0.0851989044086798,0.07924328442126237,0.15952747171173676,-0.0024104313846080344,0.07542579227568193,0.06584605650392415,0.0668903091787121,0.050599755962421215,
coupled_mixed,DOP853,full,1.1500000000000001,0.08708432122521145,0.08088732837671116,0.15946158810303154,-0.002859850570195745,0.0754075017199516,0.06567778939624401,0.06664250338342714,0.05040931199273946,
coupled_mixed,DOP853,full,1.175,0.08896927692683942,0.08252719025497618,0.15938449959905587,-0.003306819864425459,0.07538890302482834,0.065511485967545,0.06639634642051183,0.05021963111732435,
coupled_mixed,DOP853,full,1.2000000000000002,0.0908537638058294,0.08416291882225192,0.15929626768171765,-0.00375132053817118,0.07536999585634066,0.06534712020873706,0.06615182415027807,0.05003071088684017,
coupled_mixed,DOP853,full,1.225,0.09273777414654982,0.08579456219849414,0.15919695429809078,-0.004193334107359913,0.07535077991676495,0.06518466642943807,0.06590892254164626,0.04984254885535125,
coupled_mixed,DOP853,full,1.25,0.09462130022638836,0.08742216786535216,0.1590866218542784,-0.004632842333811581,0.07533125494543375,0.06502409925513958,0.06566762767137475,0.04965514258026719,
coupled_mixed,DOP853,full,1.2750000000000001,0.09650433431668747,0.08904578267403135,0.15896533320925596,-0.005069827226035359,0.07531142071951229,0.06486539362440656,0.06542792572329122,0.04946848962228791,
coupled_mixed,DOP853,full,1.3,0.09838686868369834,0.09066545285308739,0.15883315166869572,-0.005504271039982538,0.07529127705474369,0.06470852478610954,0.06518980298752645,0.04928258754534864,
coupled_mixed,DOP853,full,1.3250000000000002,0.1002688955895523,0.09228122401615337,0.15869014097877374,-0.0059361562797561,0.07527082380616304,0.06455346829668805,0.06495324585975064,0.049097433916564945,
coupled_mixed,DOP853,full,1.35,0.10215040729325692,0.09389314116958661,0.15853636531995255,-0.006365465698283591,0.07525006086877974,0.06440020001744706,0.06471824084041092,0.04891302630617661,
coupled_mixed,DOP853,full,1.375,0.1040313960517035,0.09550124872005632,0.15837188930075283,-0.006792182297944087,0.07522898817822977,0.06424869611188166,0.06448477453397246,0.04872936228749237,
coupled_mixed,DOP853,full,1.4000000000000001,0.1059118541206877,0.09710559048207082,0.15819677795151216,-0.007216289331150583,0.07520760571139766,0.06409893304302852,0.06425283364816246,0.04854643943683543,
coupled_mixed,DOP853,full,1.425,0.10779177375594909,0.09870620968543112,0.1580110967181266,-0.007637770300894436,0.07518591348700795,0.06395088757084663,0.06402240499321663,0.04836425533348862,
coupled_mixed,DOP853,full,1.4500000000000002,0.10967114721422391,0.10030314898262212,0.15781491145578044,-0.00805660896124746,0.07516391156618689,0.06380453674962397,0.06379347548112858,0.048182807559639995,
coupled_mixed,DOP853,full,1.475,0.1115499667543116,0.10189645045613868,0.15760828842266347,-0.008472789317823411,0.07514160005299426,0.0636598579254097,0.06356603212490247,0.048002093700329006,
coupled_mixed,DOP853,full,1.5,0.11342822463815487,0.10348615562574766,0.15739129427367665,-0.008886295628199236,0.07511897909492594,0.06351682873347089,0.06334006203780868,0.04782211134339297,
coupled_mixed,DOP853,full,1.5250000000000001,0.11530591313193206,0.1050723054556863,0.15716399605412756,-0.009297112402296227,0.07509604888338711,0.0633754270957731,0.06311555243264275,0.04764285807941422,
coupled_mixed,DOP853,full,1.55,0.11718302450716073,0.10665494036179803,0.15692646119341708,-0.009705224402721375,0.07507280965413685,0.06323563121848375,0.06289249062098784,0.04746433150166787,
