time,coupling,energy,integrated_work,work_defect,norm,last_character_probability
1.08,5.626666167821521,4.459121461385679,4.459121461385617,6.128431095930864e-14,1.000000000000006,3.787634910570963e-25
1.085,5.66560669263276,4.475342589021872,4.475342589021807,6.483702463810914e-14,1.0000000000000062,1.1111210424129357e-25
1.09,5.704506159687913,4.491321976906094,4.491321976906039,5.5067062021407764e-14,1.0000000000000053,1.056145321516674e-24
1.095,5.743362169484615,4.5070617199623015,4.50706171996223,7.194245199571014e-14,1.0000000000000067,6.045274188684719e-25
1.1,5.782172325201155,4.522564083881612,4.522564083881555,5.684341886080802e-14,1.0000000000000056,5.444762731412487e-25
1.105,5.820934232844315,4.537831503913412,4.5378315039133374,7.460698725481052e-14,1.000000000000007,5.25426869088085e-25
1.11,5.859645501397049,4.5528665834274245,4.5528665834273605,6.394884621840902e-14,1.0000000000000064,1.2915912962493367e-26
1.115,5.898303742965963,4.567672092243975,4.567672092243886,8.881784197001252e-14,1.0000000000000087,2.859505417706081e-24
1.12,5.936906572928624,4.582250964727959,4.582250964727898,6.128431095930864e-14,1.0000000000000058,2.2357443786867982e-26
1.125,5.975451610080641,4.596606297644637,4.5966062976445485,8.881784197001252e-14,1.0000000000000087,2.7453097267410517e-24
1.1300000000000001,6.013936476782563,4.610741347773052,4.6107413477730015,5.062616992290714e-14,1.0000000000000049,5.5012882916176935e-25
1.135,6.0523587991065275,4.624659529276517,4.624659529276433,8.43769498715119e-14,1.000000000000008,1.3842518002769774e-24
1.1400000000000001,6.090716206982712,4.638364410826201,4.638364410826151,4.973799150320701e-14,1.000000000000005,4.203619452180506e-25
1.145,6.129006334345518,4.651859712478515,4.65185971247843,8.526512829121202e-14,1.000000000000008,8.933532195191145e-25
1.1500000000000001,6.167226819279527,4.665149302302928,4.665149302302879,4.884981308350689e-14,1.0000000000000047,3.1368113731886618e-25
1.155,6.205375304165193,4.67823719276195,4.678237192761853,9.681144774731365e-14,1.000000000000009,2.409546995100331e-24
1.16,6.243449435824273,4.691127536840641,4.691127536840644,-2.6645352591003757e-15,1.0,7.18535920665657e-24
