beta,j,n,multiplicity_full,multiplicity_class,ratio,dimensionless_energy,log10_beta
1.1006941712522091,0.5,2,4,1,0.26225600066243226,1.3384341505092334,0.0416666666666665
1.1006941712522091,1.0,3,9,1,0.04694325631223917,3.058815719166497,0.0416666666666665
1.1006941712522091,1.5,4,16,1,0.0063633601544843535,5.057198714968458,0.0416666666666665
1.1006941712522091,2.0,5,25,1,0.0006934599878337907,7.2738170158597475,0.0416666666666665
1.2589254117941675,0.5,2,4,1,0.29580968841836164,1.2180389759681105,0.1000000000000001
1.2589254117941675,1.0,3,9,1,0.06012004953721271,2.8114118901254357,0.1000000000000001
1.2589254117941675,1.5,4,16,1,0.009279371495778472,4.679961461225597,0.1000000000000001
1.2589254117941675,2.0,5,25,1,0.0011531153004724567,6.765288042285159,0.1000000000000001
1.4399033208816328,0.5,2,4,1,0.33241935740726863,1.1013579824158606,0.15833333333333324
1.4399033208816328,1.0,3,9,1,0.07655089730959774,2.5697994350712765,0.15833333333333324
1.4399033208816328,1.5,4,16,1,0.013435869282274013,4.309827336196206,0.15833333333333324
1.4399033208816328,2.0,5,25,1,0.0019021672876548034,6.264761365175204,0.15833333333333324
1.6468978654828688,0.5,2,4,1,0.3718774035589889,0.9891910393512273,0.21666666666666676
1.6468978654828688,1.0,3,9,1,0.09678089612447285,2.3353056582625102,0.21666666666666676
1.6468978654828688,1.5,4,16,1,0.01928396779266029,3.948481212598822,0.21666666666666676
1.6468978654828688,2.0,5,25,1,0.0031067554417718193,5.7741763636834,0.21666666666666676
1.8836490894898001,0.5,2,4,1,0.41378669812352853,0.882404659853089,0.2749999999999999
1.8836490894898001,1.0,3,9,1,0.12130831494605906,2.109419916774234,0.2749999999999999
1.8836490894898001,1.5,4,16,1,0.027382513959110868,3.5978506459843107,0.2749999999999999
1.8836490894898001,2.0,5,25,1,0.005012709307420281,5.295778730129925,0.2749999999999999
2.1544346900318843,0.5,2,4,1,0.4575437769561098,0.7818827115085429,0.3333333333333334
2.1544346900318843,1.0,3,9,1,0.1505079655966022,1.8937392686416459,0.3333333333333334
2.1544346900318843,1.5,4,16,1,0.03838612146633087,3.2600593048640922,0.3333333333333334
2.1544346900318843,2.0,5,25,1,0.007969891385541945,4.832084414184801,0.3333333333333334
2.464147308281281,0.5,2,4,1,0.5023520364384645,0.6884541372580741,0.39166666666666655
2.464147308281281,1.0,3,9,1,0.18454219883656173,1.689877121672618,0.39166666666666655
2.464147308281281,1.5,4,16,1,0.053006662767736974,2.937337660732371,0.39166666666666655
2.464147308281281,2.0,5,25,1,0.012452932615838566,4.385799132336336,0.39166666666666655
