scenario,t,a,x,F,phi,y,f,f_phi,S,C,D,Z,Wtilde,Wpump,Wdefect,energy_mismatch,defect_residual,max_r2_error
correct,1.3,-0.003703292707667283,0.01694138380889321,0.055897803680745636,0.13566074203496986,-0.43242935984352454,1.0001840383692948,0.002713214840699398,0.0019601336731968535,0.0924530875225139,-4.509722269984009e-06,0.9975146603743134,0.10514349325230998,0.0001434932523088007,0.0,4.645535258557265e-16,4.645535258557265e-16,8.881784197001252e-16
correct,1.35,-0.004622306131579373,0.019860844975400565,0.06091824518763476,0.11383861926293248,-0.4402282249197853,1.000129592312357,0.00227677238525865,0.0023322208227641653,0.0924530968390273,-5.627676121311416e-06,0.9974602134630397,0.10519724216054083,0.00019724216054051248,0.0,-4.0324189300167124e-16,-4.0324189300167124e-16,8.881784197001252e-16
correct,1.4000000000000001,-0.00569348274611299,0.023026549862445792,0.06578061907696181,0.09166084455577088,-0.44665173253662205,1.0000840171042469,0.001833216891115418,0.0027447255335156977,0.09245311029044129,-6.929731926324576e-06,0.9974146370214183,0.10526518117428968,0.00026518117428906313,0.0,-1.0164395367051604e-16,-1.0164395367051604e-16,8.881784197001252e-16
correct,1.4500000000000002,-0.0069289088586302365,0.026429037740830844,0.07043438075920835,0.06919670550187135,-0.45167981600176604,1.0000478818405232,0.0013839341100374272,0.0031976180984630053,0.09245312926640005,-8.429795044781207e-06,0.9973785000175758,0.10534941288490964,0.0003494128849090659,0.0,-1.4858990773913838e-16,-1.4858990773913838e-16,1.1102230246251565e-15
correct,1.5,-0.008340135742411521,0.030056405008156636,0.07483330059115333,0.04651638424530697,-0.4552967691311605,1.0000216377400326,0.0009303276849061396,0.0036899097960483933,0.09245315547429685,-1.0140698211865827e-05,0.9973522535137886,0.10545201473503789,0.00045201473503714713,0.0,2.347297703431117e-17,2.347297703431117e-17,1.1102230246251565e-15
correct,1.55,-0.009938063094479256,0.03389453002785774,0.078935528562178,0.023690738171787636,-0.45749129550836903,1.0000056125107513,0.0004738147634357528,0.004219550666000639,0.09245319097285179,-1.2073896873055333e-05,0.9973362250292459,0.10557497816694741,0.0005749781669468929,0.0,-1.9656585387162195e-16,-1.9656585387162195e-16,1.1102230246251565e-15
correct,1.6,-0.011732833816755014,0.03792730055283807,0.0827035875169558,0.0007910784758334219,-0.4582565439522943,1.0000000062580516,1.582156951666844e-05,0.004783404846987971,0.09245323820080582,-1.4239137060141865e-05,0.9973306144456844,0.1057201466452277,0.00072014664522697,0.0,1.7780915628762273e-17,1.7780915628762273e-17,1.1102230246251565e-15
correct,1.6500000000000001,-0.013733740158856117,0.04213684028377342,0.08610431822953582,-0.02211105269800829,-0.45759013007090305,1.000004888986514,-0.0004422210539601659,0.005377305346093715,0.09245329999865642,-1.664409246142862e-05,0.9973354915072076,0.1058891544950351,0.0008891544950343626,0.0,1.5070410197548512e-17,1.5070410197548512e-17,1.1102230246251565e-15
correct,1.7000000000000002,-0.01594914111487483,0.04650373214434211,0.08910879477474883,-0.04494410584205351,-0.4554941438224536,1.0000201997264995,-0.0008988821168410704,0.005996176546846094,0.09245337962124373,-1.9293969008120543e-05,0.9973507949457032,0.10608336840117492,0.0010833684011744408,0.0,-2.3462135012586316e-16,-2.3462135012586316e-16,1.3322676295501878e-15
correct,1.75,-0.01838639086802761,0.05100723672864734,0.09169222461822048,-0.06763674769982238,-0.4519751430503873,1.0000457472963942,-0.0013527349539964478,0.006634202093549573,0.09245348073891978,-2.2191077665206993e-05,0.9973763332429819,0.1063038332777828,0.0013038332777820644,0.0,1.496198998029996e-17,1.496198998029996e-17,1.3322676295501878e-15
