time_s,numerical_x_m,analytic_x_m,absolute_error_m
9.38,0.1786825031821404,0.17868250335605063,1.7391021955859287e-10
9.4,0.1812857865632655,0.18128578673737927,1.741137789501579e-10
9.42,0.18271494783839337,0.1827149480113239,1.7293053100608802e-10
9.44,0.1829693014027937,0.18296930157320215,1.7040846511662266e-10
9.46,0.18205565434181187,0.1820556545088368,1.6702492167119942e-10
9.48,0.17998820929272985,0.17998820945518657,1.624567147473499e-10
9.5,0.17678842086347604,0.17678842102147266,1.5799661579052326e-10
9.52,0.17248480686750184,0.17248480701908417,1.5158233002132704e-10
9.540000000000001,0.1671127158832814,0.16711271602761502,1.4433362838239816e-10
9.56,0.16071405295487348,0.16071405309173256,1.368590796246849e-10
9.58,0.1533369654679277,0.15333696559754745,1.2961975937031411e-10
9.6,0.14503549149399542,0.14503549161627582,1.222804080214246e-10
9.620000000000001,0.13586917311365823,0.13586917322577322,1.1211498396335173e-10
9.64,0.1259026374286377,0.12590263752573988,9.710218740188736e-11
9.66,0.11520514816490304,0.11520514824880489,8.390184380591137e-11
9.68,0.10385013096294246,0.1038501310363105,7.336803387048008e-11
9.700000000000001,0.09191467553027935,0.09191467559342806,6.314870848456167e-11
9.72,0.0794790180112685,0.07947901806255787,5.1289375524454783e-11
9.74,0.06662600701826069,0.06662600705606748,3.7806799357831267e-11
9.76,0.05344055684553106,0.05344055686891462,2.338355897801847e-11
9.78,0.04000909144002638,0.040009091448140924,8.114543759152326e-12
9.8,0.02641898273693848,0.026418982729455528,7.482951758230882e-12
9.82,0.01275798698153853,0.012757986961168689,2.0369841230438723e-11
9.84,-0.0008863173432679,-0.0008863173774561341,3.418823416641986e-11
9.86,-0.014427086446151094,-0.014427086492353055,4.620196066007498e-11
9.88,-0.02777875945283967,-0.027778759512815644,5.997597557483303e-11
9.9,-0.040857594550079486,-0.040857594619653846,6.957436016197249e-11
9.92,-0.05358218965325113,-0.05358218973316943,7.991830114351117e-11
9.94,-0.06587398446254025,-0.06587398455303166,9.049140603512029e-11
9.96,-0.07765774078366196,-0.07765774088404731,1.0038535280809668e-10
9.98,-0.08886199823207512,-0.08886199834218048,1.1010535538868993e-10
10.0,-0.09941950259216215,-0.09941950271296866,1.2080651756729566e-10
10.02,-0.10926760429634896,-0.1092676044283242,1.3197523629493446e-10
10.040000000000001,-0.11834862469618185,-0.11834862483636063,1.401787852461922e-10
10.06,-0.1266101880147702,-0.12661018816084618,1.4607598464166927e-10
10.08,-0.1340055171296239,-0.13400551728064958,1.5102566419677999e-10
10.1,-0.14049369154796448,-0.14049369170354326,1.555787720874946e-10
10.120000000000001,-0.14603986620186446,-0.14603986636137367,1.595092113948482e-10
10.14,-0.15061544995067733,-0.15061545011314784,1.6247050926843087e-10
10.16,-0.15419824294317544,-0.15419824310739458,1.642191382877911e-10
10.18,-0.15677253225891294,-0.1567725324234467,1.6453374773739426e-10
10.200000000000001,-0.15832914551771307,-0.15832914568138257,1.636694946238748e-10
10.22,-0.15886546241876504,-0.1588654625804738,1.6170875749565994e-10
10.24,-0.15838538443566635,-0.15838538459442666,1.587603104535873e-10
10.26,-0.15689926316204467,-0.1568992633167541,1.5470943970363749e-10
10.28,-0.15442378805912255,-0.15442378820963013,1.5050757862233866e-10
10.3,-0.15098183461847767,-0.15098183476291405,1.4443637952332722e-10
10.32,-0.14660227417752403,-0.14660227431514963,1.3762560535646173e-10
10.34,-0.14131974689337531,-0.14131974702369995,1.3032463996864863e-10
10.36,-0.13517439957256647,-0.13517439969540151,1.228350476889517e-10
10.38,-0.1282115902849897,-0.12821159040079294,1.1580322811788335e-10
10.4,-0.1204815618841779,-0.12048156199289971,1.0872180933318987e-10
10.42,-0.11203908673609862,-0.11203908683451227,9.841365222751364e-11
10.44,-0.10294308512121006,-0.10294308520489708,8.36870156506464e-11
10.46,-0.09325621993568214,-0.09325622000688588,7.120373735070018e-11
10.48,-0.08304447046689795,-0.08304447052755803,6.066008806371315e-11
10.5,-0.0723766880693795,-0.07237668811945948,5.0079981828154985e-11
10.52,-0.061324136725749975,-0.06132413676399725,3.8247273403957394e-11
10.540000000000001,-0.04996002152853562,-0.049960021553726384,2.5190766139715492e-11
10.56,-0.038359008174234016,-0.03835900818547749,1.1243471431665597e-11
10.58,-0.026596736594415468,-0.026596736591380128,3.035339340984322e-12
10.6,-0.014749331865505293,-0.014749331849765597,1.5739696004879455e-11
10.620000000000001,-0.0028929155403502626,-0.002892915512728371,2.7621891753037975e-11
10.64,0.008896879498081076,0.00889687953802682,3.994574289400976e-11
10.66,0.020545387587727795,0.02054538764025847,5.253067425492475e-11
10.68,0.03197937923870892,0.03197937930238791,6.367898569559216e-11
10.700000000000001,0.04312751756405117,0.04312751763678393,7.273275731689566e-11
10.72,0.05392079937341965,0.05392079945579557,8.237592552529094e-11
10.74,0.06429297823715067,0.0642929783292043,9.205362860864597e-11
10.76,0.07418096693408323,0.07418096703608193,1.0199870115190635e-10
10.78,0.08352521688113512,0.08352521699382343,1.1268830313326816e-10
10.8,0.09227007228876324,0.09227007241118307,1.224198242777419e-10
10.82,0.10036409696014867,0.10036409708941388,1.2926520964740007e-10
10.84,0.10776037185022257,0.10776037198483142,1.3460885184279903e-10
10.86,0.1144167617064747,0.11441676184601512,1.3954042088482055e-10
10.88,0.12029614930374202,0.12029614944806762,1.4432559314325744e-10
10.9,0.12536663601501155,0.1253666361634731,1.4846154861025695e-10
10.92,0.1296017076811211,0.1296017078327072,1.5158610477961076e-10
10.94,0.1329803649727167,0.13298036512633765,1.5362094929471937e-10
10.96,0.13548721766802196,0.1354872178224878,1.544658290164591e-10
10.98,0.1371125425036361,0.137112542657648,1.540118865772655e-10
11.0,0.13785230449102456,0.13785230464344916,1.5242460071895891e-10
11.02,0.13770814182577257,0.1377081419756293,1.4985673812972777e-10
11.040000000000001,0.1366873147461897,0.13668731489257624,1.4638654177723254e-10
11.06,0.13480261892545672,0.1348026190680317,1.4257497960024068e-10
11.08,0.13207226420664325,0.1320722643443954,1.3775214302569339e-10
11.1,0.1285197196965063,0.12851971982818694,1.3168063861535018e-10
11.120000000000001,0.12417352645119079,0.12417352657629262,1.251018316716923e-10
11.14,0.1190670791809694,0.11906707929937003,1.1840063651735733e-10
11.16,0.11323837858418827,0.11323837869601962,1.1183134973613562e-10
11.18,0.10672975610254366,0.1067297562069579,1.0441424114215891e-10
11.200000000000001,0.09958757304780963,0.09958757314135766,9.354803043315485e-11
11.22,0.09186189619640857,0.09186189627687288,8.046431576591573e-11
11.24,0.08360615209917653,0.08360615216972017,7.054364037362149e-11
11.26,0.07487676246915786,0.0748767625308603,6.170243482817028e-11
11.28,0.06573276307603222,0.06573276312807676,5.204453534801701e-11
11.3,0.05623540872041414,0.05623540876111389,4.069974912646046e-11
11.32,0.046447766899117546,0.04644776692752826,2.8410711283566314e-11
11.34,0.03643430283440405,0.036434302850193695,1.5789647367370208e-11
11.36,0.02626045857069407,0.026260458573319413,2.6253443863311077e-12
11.38,0.0159922288632342,0.015992228852213554,1.1020646201176376e-11
11.4,0.005695736585521978,0.00569573656290293,2.2619048127558994e-11
11.42,-0.004563189624174067,-0.004563189658772354,3.459828690904887e-11
11.44,-0.014719432828039754,-0.01471943287260536,4.4565606413526915e-11
11.46,-0.0247089977024041,-0.024708997758515587,5.611148698458912e-11
11.48,-0.034469410384042214,-0.03446941045140574,6.736352448077909e-11
11.5,-0.0439401057328597,-0.043940105810387,7.752730402099672e-11
11.52,-0.053062799657105184,-0.05306279974419833,8.709314519572686e-11
11.540000000000001,-0.06178184423097657,-0.06178184432698348,9.600691075473122e-11
11.56,-0.07004456346074446,-0.07004456356450926,1.0376480230611662e-10
11.58,-0.07780156769955746,-0.0778015678096097,1.1005224509474942e-10
11.6,-0.08500704486017262,-0.08500704497605052,1.158779044940772e-10
11.620000000000001,-0.09161902673873265,-0.09161902686119273,1.2246008374017237e-10
11.64,-0.09759962892931562,-0.09759962905858503,1.2926941461710584e-10
11.66,-0.1029152629859312,-0.10291526312084523,1.3491402439669287e-10
11.68,-0.107536819680714,-0.1075368198196664,1.3895239125982783e-10
11.700000000000001,-0.11143982240058296,-0.11143982254227301,1.4169004858288758e-10
11.72,-0.11460454991753131,-0.11460455006088022,1.4334890219291907e-10
11.74,-0.11701612796826923,-0.11701612811239823,1.4412900040117194e-10
11.76,-0.11866458928437144,-0.11866458942844195,1.44070505525562e-10
11.78,-0.11954490191638836,-0.11954490205938374,1.429953794263028e-10
11.8,-0.11965696589852567,-0.11965696603938392,1.408582417372628e-10
11.82,-0.11900557850292987,-0.11900557864078244,1.3785257657605854e-10
11.84,-0.11760036853027592,-0.1176003686646501,1.3437417845096888e-10
11.86,-0.11545570027898328,-0.11545570040844484,1.2946156646709284e-10
11.88,-0.11259054801632472,-0.11259054814038884,1.2406412008836298e-10
11.9,-0.10902834197403218,-0.10902834209220502,1.1817284650827986e-10
11.92,-0.10479678704483189,-0.1047967871561291,1.1129720756120065e-10
11.94,-0.09992765553378076,-0.099927655637575,1.03794237094057e-10
11.96,-0.09445655547423315,-0.09445655557049662,9.626346941793429e-11
11.98,-0.08842267615776746,-0.0884226762474342,8.966674625021653e-11
12.0,-0.08186851266686491,-0.08186851274959667,8.27317520046833e-11
12.02,-0.07483957131116557,-0.07483957138338507,7.221949427371754e-11
12.040000000000001,-0.06738405797877692,-0.06738405803776379,5.898687094330057e-11
12.06,-0.0595525515234008,-0.059552551571304686,4.7903889188738447e-11
12.08,-0.05139766438036733,-0.051397664417997646,3.763031553027929e-11
12.1,-0.042973692639637545,-0.042973692666703756,2.7066210384063538e-11
12.120000000000001,-0.034336257904176985,-0.034336257920016315,1.5839329847722183e-11
12.14,-0.025541943269994323,-0.025541943274168435,4.174112444577105e-12
12.16,-0.016647925789478515,-0.01664792578227105,7.207463792457958e-12
12.18,-0.007711607785605547,-0.00771160776867467,1.693087770676671e-11
12.200000000000001,0.0012097506185621467,0.0012097506474700308,2.890788411598344e-11
12.22,0.010059395447471357,0.010059395485953688,3.848233016967573e-11
12.24,0.018781436952821952,0.018781437002411413,4.958946100974693e-11
12.26,0.027321199647988088,0.027321199707873504,5.988541607049314e-11
12.280000000000001,0.035625562069128036,0.03562556213803472,6.890668591275073e-11
12.3,0.04364328420244574,0.04364328428021129,7.776555094318738e-11
12.32,0.051325320572835814,0.05132532065964983,8.681401431065439e-11
12.34,0.05862511709757181,0.058625117192563705,9.499189629336158e-11
12.36,0.06549888992855997,0.06549889003034073,1.0178076437217243e-10
12.38,0.07190588463966906,0.07190588474687047,1.0720141441211695e-10
12.4,0.07780861424563196,0.0778086143580498,1.1241783892668167e-10
12.42,0.08317307469014712,0.08317307480829339,1.181462705446279e-10
12.44,0.087968936588631,0.08796893671225796,1.2362695589462902e-10
