time,interval,light_mass,heavy_mass,light_amplitude,heavy_amplitude,log_C,effective_mass,light_spectral_fraction,heavy_spectral_fraction
25.0,0.5,0.1,1.0,1e-12,1.0,-24.994106876549576,0.993332556471952,0.005875793058513189,0.9941242069414858
25.25,0.5,0.1,1.0,1e-12,1.0,-25.24262537844573,0.9916660451039746,0.007347495754530393,0.99265250424547
25.5,0.5,0.1,1.0,1e-12,1.0,-25.490773154785554,0.9895879273768677,0.00918440849744215,0.9908155915025586
25.75,0.5,0.1,1.0,1e-12,1.0,-25.738458400997718,0.9869992971758977,0.011475250250730169,0.9885247497492711
26.0,0.5,0.1,1.0,1e-12,1.0,-25.98556711847399,0.9837790099634702,0.014329226769583927,0.98567077323042
26.25,0.5,0.1,1.0,1e-12,1.0,-26.231958049585668,0.9797795265772952,0.017880168839739908,0.9821198311602619
26.5,0.5,0.1,1.0,1e-12,1.0,-26.477456623455723,0.9748224534273409,0.0222911733566781,0.9777088266433223
26.75,0.5,0.1,1.0,1e-12,1.0,-26.721847812874312,0.9686940532369533,0.027759606929213792,0.9722403930707851
27.0,0.5,0.1,1.0,1e-12,1.0,-26.964867850169394,0.9611412072232648,0.03452217990353426,0.9654778200964674
27.25,0.5,0.1,1.0,1e-12,1.0,-27.206194839492795,0.951868598004618,0.04285957193792847,0.9571404280620768
27.5,0.5,0.1,1.0,1e-12,1.0,-27.445438453781026,0.9405382563058512,0.053099771064448506,0.9469002289355527
27.75,0.5,0.1,1.0,1e-12,1.0,-27.6821291384951,0.9267730516097802,0.06561886964064835,0.9343811303593523
28.0,0.5,0.1,1.0,1e-12,1.0,-27.91570758193395,0.9101661360550815,0.08083756290896571,0.9191624370910346
28.25,0.5,0.1,1.0,1e-12,1.0,-28.14551566429999,0.8902986229967071,0.09921109247595532,0.9007889075240444
28.5,0.5,0.1,1.0,1e-12,1.0,-28.370790649961496,0.8667676470693096,0.12121002842770746,0.8787899715722967
28.75,0.5,0.1,1.0,1e-12,1.0,-28.590664975798344,0.8392260710665687,0.14728936758972014,0.8527106324102809
29.0,0.5,0.1,1.0,1e-12,1.0,-28.804174473496147,0.8074331300582133,0.17784433346118914,0.8221556665388117
29.25,0.5,0.1,1.0,1e-12,1.0,-29.01027801133163,0.7713120814073436,0.2131534170721275,0.7868465829278738
29.5,0.5,0.1,1.0,1e-12,1.0,-29.207891038525254,0.7310068040172645,0.25331282859473536,0.7466871714052659
29.75,0.5,0.1,1.0,1e-12,1.0,-29.3959340520353,0.6869253804617508,0.29817131834393734,0.7018286816560644
30.0,0.5,0.1,1.0,1e-12,1.0,-29.573394440533885,0.6397568735140449,0.34727903893731626,0.6527209610626837
30.25,0.5,0.1,1.0,1e-12,1.0,-29.739396742266173,0.5904497736780142,0.39986656554560573,0.6001334344543936
30.5,0.5,0.1,1.0,1e-12,1.0,-29.893272877290908,0.5401478543824533,0.45486789691494683,0.5451321030850531
30.75,0.5,0.1,1.0,1e-12,1.0,-30.03462162910518,0.4900900490536565,0.510992949247683,0.4890070507523174
31.0,0.5,0.1,1.0,1e-12,1.0,-30.16334680448214,0.44149168692112406,0.5668422053401228,0.4331577946598806
