steps,t,energy,integrated_work,work_defect,norm_defect
160,0.47500000000000003,0.6621220053450463,0.662124311699297,-2.306354250691811e-06,-5.551115123125783e-16
160,0.48750000000000004,0.695462552968618,0.6954650818314506,-2.5288628325847995e-06,4.440892098500626e-16
160,0.5,0.7294562365286905,0.7294590011719968,-2.7646433062855635e-06,8.881784197001252e-16
160,0.5125,0.7640860402376866,0.7640890540978275,-3.013860140899105e-06,6.661338147750939e-16
160,0.525,0.79933448888247,0.7993377655221584,-3.2766396883543436e-06,1.3322676295501878e-15
160,0.5375,0.835183653789809,0.8351872068583268,-3.553068517847535e-06,8.881784197001252e-16
160,0.5499999999999999,0.8716151597138867,0.8716190029057448,-3.843191858088346e-06,1.5543122344752192e-15
160,0.5625,0.9086101926685273,0.9086143396806846,-4.1470121573405905e-06,1.5543122344752192e-15
160,0.575,0.9461495087241822,0.9461539732119358,-4.464487753597091e-06,3.1086244689504383e-15
160,0.5875,0.9842134437869696,0.9842182393186344,-4.795531664769648e-06,3.9968028886505635e-15
160,0.6,1.0227819243742238,1.0227870643847239,-5.140010500115366e-06,3.1086244689504383e-15
160,0.6125,1.061834479398099,1.0618399771415818,-5.497743482907325e-06,3.774758283725532e-15
160,0.625,1.1013502529656762,1.1013561214673242,-5.868501647965374e-06,2.886579864025407e-15
160,0.6375,1.1413080182010855,1.14131427020821,-6.252007124452064e-06,3.1086244689504383e-15
160,0.65,1.1816861920917991,1.181692840024394,-6.647932594860961e-06,3.1086244689504383e-15
160,0.6625,1.2224628513581641,1.2224699072590381,-7.055900874020082e-06,2.220446049250313e-15
160,0.675,1.2636157493418516,1.2636232248264858,-7.475484634200669e-06,3.774758283725532e-15
160,0.6875,1.3051223339055238,1.305130240111845,-7.906206321184328e-06,4.884981308350689e-15
160,0.7,1.3469597663327448,1.3469681138709007,-8.347538155817347e-06,4.218847493575595e-15
160,0.7125,1.3891049412134806,1.3891137401158193,-8.798902338735815e-06,3.9968028886505635e-15
160,0.725,1.431534507297171,1.4315437669685842,-9.25967141318651e-06,3.9968028886505635e-15
160,0.7375,1.4742248892917864,1.4742346184605555,-9.729168769068153e-06,5.10702591327572e-15
160,0.75,1.5171523105835987,1.517162517252955,-1.020666935636072e-05,5.773159728050814e-15
160,0.7625,1.5602928168489394,1.5603035082494532,-1.0691400513795912e-05,4.440892098500626e-15
160,0.775,1.603622300525394,1.6036334830683932,-1.1182542999144118e-05,4.884981308350689e-15
160,0.7875,1.6471165261062815,1.6471282053385115,-1.167923222999967e-05,4.440892098500626e-15
160,0.8,1.6907511562186863,1.6907633367783403,-1.2180559654018097e-05,4.218847493575595e-15
160,0.8125,1.7345017784414523,1.7345144640157766,-1.2685574324322602e-05,5.329070518200751e-15
160,0.825,1.778343932815933,1.778357126100616,-1.3193284682966322e-05,5.773159728050814e-15
160,0.8375,1.8222531399986668,1.822266842659161,-1.370266049427471e-05,5.10702591327572e-15
160,0.85,1.8662049300013468,1.8662191426363444,-1.4212634997567974e-05,4.440892098500626e-15
160,0.8625,1.9101748714599047,1.9101895935671553,-1.4722107250619842e-05,4.6629367034256575e-15
160,0.875,1.9541386013708728,1.9541538313155606,-1.5229944687833452e-05,3.1086244689504383e-15
160,0.8875,1.9980718552297123,1.9980875902155342,-1.573498582185806e-05,3.3306690738754696e-15
160,0.9,2.0419504975021128,2.0419667335453227,-1.6236043209882922e-05,3.1086244689504383e-15
160,0.9125,2.0857505523560684,2.0857672842626416,-1.673190657314194e-05,2.886579864025407e-15
160,0.925,2.1294482345790477,2.129465455925167,-1.7221346119367098e-05,3.1086244689504383e-15
160,0.9375,2.1730199806013824,2.1730376837174656,-1.770311608328967e-05,3.552713678800501e-15
160,0.95,2.2164424795439723,2.216460655502406,-1.8175958433452877e-05,2.4424906541753444e-15
160,0.9625,2.259692704205392,2.259711342812154,-1.863860676198925e-05,2.886579864025407e-15
160,0.975,2.302747941900684,2.3027670316910736,-1.9089790389337224e-05,2.220446049250313e-15
160,0.9875,2.3455858250616664,2.3456053533002623,-1.9528238595967196e-05,1.7763568394002505e-15
160,1.0,2.388184361506034,2.3882043141910976,-1.9952685063717723e-05,2.6645352591003757e-15
160,1.0125,2.4305219642805787,2.430542326153026,-2.036187244724985e-05,1.1102230246251565e-15
160,1.025,2.4725774809818946,2.472598235538977,-2.075455708228091e-05,1.1102230246251565e-15
160,1.0375,2.514330222456358,2.5143513519702116,-2.112951385369044e-05,-3.3306690738754696e-16
160,1.05,2.555759990780024,2.5557814763211724,-2.148554114844714e-05,-9.992007221626409e-16
160,1.0625,2.596847106418082,2.5968689278840014,-2.1821465919558136e-05,-1.887379141862766e-15
160,1.075,2.6375724344630465,2.6375945706118795,-2.213614883306292e-05,-1.9984014443252818e-15
160,1.0875,2.677917409850753,2.677939838340212,-2.2428489458992118e-05,-1.9984014443252818e-15
160,1.1,2.7178640614534895,2.7178867588850095,-2.2697431520057876e-05,-2.6645352591003757e-15
160,1.1125,2.757395034950457,2.7574179769185774,-2.29419681203602e-05,-2.220446049250313e-15
160,1.125,2.7964936143768915,2.796516775523882,-2.3161146990524628e-05,-1.5543122344752192e-15
160,1.1375,2.8351437422550356,2.8351670963307125,-2.3354075676884634e-05,-1.3322676295501878e-15
160,1.15,2.873330038212401,2.873353558139045,-2.3519926644066658e-05,-1.7763568394002505e-15
160,1.1625,2.9110378159955372,2.9110614739378393,-2.365794230207996e-05,-1.1102230246251565e-15
160,1.175,2.948253098790987,2.948276866230883,-2.3767439895738818e-05,-8.881784197001252e-16
160,1.1875,2.9849626327690624,2.9849864805852633,-2.3847816200905925e-05,-1.3322676295501878e-15
160,1.2,3.0211538987705473,3.0211777973225917,-2.3898552044432364e-05,-6.661338147750939e-16
160,1.2125000000000001,3.056815122061644,3.056839041278232,-2.391921658784213e-05,0.0
160,1.225,3.091935280088183,3.09195918955952,-2.39094713370136e-05,1.7763568394002505e-15
160,1.2375,3.12650410816642,3.126527977240264,-2.386907384410719e-05,1.9984014443252818e-15
160,1.25,3.1605121030546415,3.1605359009357117,-2.379788107020886e-05,1.3322676295501878e-15
160,1.2625,3.1939505243572532,3.193974220209633,-2.3695852379823634e-05,8.881784197001252e-16
160,1.2750000000000001,3.22681139372103,3.226834956773166,-2.3563052135688878e-05,4.440892098500626e-16
160,1.2875,3.259087491791769,3.2591108914436147,-2.3399651845501523e-05,6.661338147750939e-16
160,1.3,3.290772352908569,3.2907955588404176,-2.3205931848568895e-05,6.661338147750939e-16
160,1.3125,3.321860257522492,3.321883239804985,-2.29822824930892e-05,1.1102230246251565e-15
160,1.325,3.3523462223362146,3.352368951541027,-2.2729204812499404e-05,1.3322676295501878e-15
160,1.3375000000000001,3.3822259881716366,3.382248435482274,-2.2447310637385698e-05,1.5543122344752192e-15
